timestamp,eyetrackerLog,sampledLook,avgPOS,curLook,response
801952.883800026,startContingent,,,,
801954.4312004,,"(368.0, 694.0)","(368.0, 694.0)",left,
801955.0287001766,,"(368.0, 694.0)","(368.0, 694.0)",left,
801955.5582003668,,"(368.0, 694.0)","(368.0, 694.0)",left,
801956.0944000259,,"(368.0, 694.0)","(368.0, 694.0)",left,
801956.6077003255,,"(368.0, 694.0)","(368.0, 694.0)",left,
801957.4619000778,,"(368.0, 694.0)","(368.0, 694.0)",left,
801959.5566000789,,"(368.0, 694.0)","(368.0, 694.0)",left,
801960.5408003554,,"(383.0, 695.0)","(383.0, 695.0)",left,
801961.2550004385,,"(383.0, 695.0)","(383.0, 695.0)",left,
801961.8495004252,,"(383.0, 695.0)","(383.0, 695.0)",left,
801962.4159000814,,"(383.0, 695.0)","(383.0, 695.0)",left,
801962.9448000342,,"(383.0, 695.0)","(383.0, 695.0)",left,
801963.4953001514,,"(383.0, 695.0)","(383.0, 695.0)",left,
801964.031000156,,"(383.0, 695.0)","(383.0, 695.0)",left,
801964.557800442,,"(383.0, 695.0)","(383.0, 695.0)",left,
801965.0669000112,,"(383.0, 695.0)","(383.0, 695.0)",left,
801965.583300218,,"(383.0, 695.0)","(383.0, 695.0)",left,
801966.0888002254,,"(383.0, 695.0)","(383.0, 695.0)",left,
801966.623400338,,"(383.0, 695.0)","(383.0, 695.0)",left,
801967.1525000595,,"(383.0, 695.0)","(383.0, 695.0)",left,
801967.6625002176,,"(383.0, 695.0)","(383.0, 695.0)",left,
801968.2854004204,,"(383.0, 695.0)","(383.0, 695.0)",left,
801969.471400138,,"(383.0, 695.0)","(383.0, 695.0)",left,
801970.4087004066,,"(383.0, 695.0)","(383.0, 695.0)",left,
801971.1620002054,,"(383.0, 695.0)","(383.0, 695.0)",left,
801971.744700335,,"(383.0, 695.0)","(383.0, 695.0)",left,
801972.2686000168,,"(383.0, 695.0)","(383.0, 695.0)",left,
801972.789700143,,"(383.0, 695.0)","(383.0, 695.0)",left,
801973.3093003742,,"(383.0, 695.0)","(383.0, 695.0)",left,
801974.0669000894,,"(383.0, 695.0)","(383.0, 695.0)",left,
801974.8749001883,,"(383.0, 695.0)","(383.0, 695.0)",left,
801975.4419000819,,"(383.0, 695.0)","(383.0, 695.0)",left,
801975.9848001413,,"(383.0, 695.0)","(383.0, 695.0)",left,
801976.5097000636,,"(383.0, 695.0)","(383.0, 695.0)",left,
801977.4093003944,,"(381.0, 709.0)","(381.0, 709.0)",left,
801978.0960003845,,"(381.0, 709.0)","(381.0, 709.0)",left,
801978.6685002036,,"(381.0, 709.0)","(381.0, 709.0)",left,
801979.2124000378,,"(381.0, 709.0)","(381.0, 709.0)",left,
801979.880400002,,"(381.0, 709.0)","(381.0, 709.0)",left,
801980.457500089,,"(381.0, 709.0)","(381.0, 709.0)",left,
801981.0076002032,,"(381.0, 709.0)","(381.0, 709.0)",left,
801981.5439004451,,"(381.0, 709.0)","(381.0, 709.0)",left,
801982.0811999962,,"(381.0, 709.0)","(381.0, 709.0)",left,
801982.6043001376,,"(381.0, 709.0)","(381.0, 709.0)",left,
801983.155600261,,"(381.0, 709.0)","(381.0, 709.0)",left,
801983.7188003585,,"(381.0, 709.0)","(381.0, 709.0)",left,
801984.2405002564,,"(381.0, 709.0)","(381.0, 709.0)",left,
801984.7509004176,,"(381.0, 709.0)","(381.0, 709.0)",left,
801985.2596004494,,"(381.0, 709.0)","(381.0, 709.0)",left,
801985.7720001601,,"(381.0, 709.0)","(381.0, 709.0)",left,
801986.2636001781,,"(381.0, 709.0)","(381.0, 709.0)",left,
801986.8057002313,,"(381.0, 709.0)","(381.0, 709.0)",left,
801987.3470002785,,"(381.0, 709.0)","(381.0, 709.0)",left,
801987.8741004504,,"(381.0, 709.0)","(381.0, 709.0)",left,
801988.3974003606,,"(381.0, 709.0)","(381.0, 709.0)",left,
801988.9215002768,,"(381.0, 709.0)","(381.0, 709.0)",left,
801989.4310003147,,"(381.0, 709.0)","(381.0, 709.0)",left,
801989.9626001716,,"(381.0, 709.0)","(381.0, 709.0)",left,
801990.6981000677,,"(381.0, 709.0)","(381.0, 709.0)",left,
801991.4801004343,,"(381.0, 709.0)","(381.0, 709.0)",left,
801992.1436002478,,"(381.0, 709.0)","(381.0, 709.0)",left,
801992.8311002441,,"(381.0, 709.0)","(381.0, 709.0)",left,
801993.7556004152,,"(391.0, 703.0)","(391.0, 703.0)",left,
801994.3950003944,,"(391.0, 703.0)","(391.0, 703.0)",left,
801994.9599001557,,"(391.0, 703.0)","(391.0, 703.0)",left,
801995.7400001585,,"(391.0, 703.0)","(391.0, 703.0)",left,
801996.2589000352,,"(391.0, 703.0)","(391.0, 703.0)",left,
801996.7874004506,,"(391.0, 703.0)","(391.0, 703.0)",left,
801997.2999002784,,"(391.0, 703.0)","(391.0, 703.0)",left,
801997.8346000426,,"(391.0, 703.0)","(391.0, 703.0)",left,
801998.3578003012,,"(391.0, 703.0)","(391.0, 703.0)",left,
801998.8630004227,,"(391.0, 703.0)","(391.0, 703.0)",left,
801999.361500144,,"(391.0, 703.0)","(391.0, 703.0)",left,
801999.8918999918,,"(391.0, 703.0)","(391.0, 703.0)",left,
802000.4316000268,,"(391.0, 703.0)","(391.0, 703.0)",left,
802000.9616003372,,"(391.0, 703.0)","(391.0, 703.0)",left,
802001.4882003888,,"(391.0, 703.0)","(391.0, 703.0)",left,
802002.0704003982,,"(391.0, 703.0)","(391.0, 703.0)",left,
802002.6384000666,,"(391.0, 703.0)","(391.0, 703.0)",left,
802003.1605004333,,"(391.0, 703.0)","(391.0, 703.0)",left,
802003.7053003907,,"(391.0, 703.0)","(391.0, 703.0)",left,
802004.2258002795,,"(391.0, 703.0)","(391.0, 703.0)",left,
802004.7465004027,,"(391.0, 703.0)","(391.0, 703.0)",left,
802005.2646002732,,"(391.0, 703.0)","(391.0, 703.0)",left,
802005.8215004392,,"(391.0, 703.0)","(391.0, 703.0)",left,
802006.3716000877,,"(391.0, 703.0)","(391.0, 703.0)",left,
802007.1739000268,,"(391.0, 703.0)","(391.0, 703.0)",left,
802008.2124001347,,"(391.0, 703.0)","(391.0, 703.0)",left,
802008.9585999958,,"(391.0, 703.0)","(391.0, 703.0)",left,
802009.8661002703,,"(391.0, 703.0)","(391.0, 703.0)",left,
802010.6089003384,,"(391.0, 703.0)","(391.0, 703.0)",left,
802011.1747002229,,"(391.0, 703.0)","(391.0, 703.0)",left,
802011.7039000615,,"(391.0, 703.0)","(391.0, 703.0)",left,
802012.2568001971,,"(391.0, 703.0)","(391.0, 703.0)",left,
802012.7603001893,,"(391.0, 703.0)","(391.0, 703.0)",left,
802013.2703999989,,"(391.0, 703.0)","(391.0, 703.0)",left,
802013.7831000611,,"(391.0, 703.0)","(391.0, 703.0)",left,
802014.5352003165,,"(391.0, 703.0)","(391.0, 703.0)",left,
802015.3558002785,,"(391.0, 703.0)","(391.0, 703.0)",left,
802016.1723000929,,"(381.0, 686.0)","(381.0, 686.0)",left,
802016.759400256,,"(381.0, 686.0)","(381.0, 686.0)",left,
802017.3052004538,,"(381.0, 686.0)","(381.0, 686.0)",left,
802017.8513000719,,"(381.0, 686.0)","(381.0, 686.0)",left,
802018.3878000826,,"(381.0, 686.0)","(381.0, 686.0)",left,
802018.9088000916,,"(381.0, 686.0)","(381.0, 686.0)",left,
802019.4343002513,,"(381.0, 686.0)","(381.0, 686.0)",left,
802019.9531000108,,"(381.0, 686.0)","(381.0, 686.0)",left,
802020.5186000094,,"(381.0, 686.0)","(381.0, 686.0)",left,
802021.063900087,,"(381.0, 686.0)","(381.0, 686.0)",left,
802021.5990003198,,"(381.0, 686.0)","(381.0, 686.0)",left,
802022.1370002255,,"(381.0, 686.0)","(381.0, 686.0)",left,
802022.6948000491,,"(381.0, 686.0)","(381.0, 686.0)",left,
802023.2416000217,,"(381.0, 686.0)","(381.0, 686.0)",left,
802023.9745001309,,"(381.0, 686.0)","(381.0, 686.0)",left,
802024.757000152,,"(381.0, 686.0)","(381.0, 686.0)",left,
802025.3225001507,,"(381.0, 686.0)","(381.0, 686.0)",left,
802025.8726002648,,"(381.0, 686.0)","(381.0, 686.0)",left,
802026.444400195,,"(381.0, 686.0)","(381.0, 686.0)",left,
802027.0037003793,,"(381.0, 686.0)","(381.0, 686.0)",left,
802027.5226002559,,"(381.0, 686.0)","(381.0, 686.0)",left,
802028.0424002558,,"(381.0, 686.0)","(381.0, 686.0)",left,
802028.5663004033,,"(381.0, 686.0)","(381.0, 686.0)",left,
802029.1163004003,,"(381.0, 686.0)","(381.0, 686.0)",left,
802029.9007003196,,"(384.0, 694.0)","(384.0, 694.0)",left,
802030.5390004069,,"(384.0, 694.0)","(384.0, 694.0)",left,
802031.1171002686,,"(384.0, 694.0)","(384.0, 694.0)",left,
802031.6445003264,,"(384.0, 694.0)","(384.0, 694.0)",left,
802032.153100241,,"(384.0, 694.0)","(384.0, 694.0)",left,
802032.6723000035,,"(384.0, 694.0)","(384.0, 694.0)",left,
802033.2047003321,,"(384.0, 694.0)","(384.0, 694.0)",left,
802033.7384003215,,"(384.0, 694.0)","(384.0, 694.0)",left,
802034.2843001708,,"(384.0, 694.0)","(384.0, 694.0)",left,
802034.8049001768,,"(384.0, 694.0)","(384.0, 694.0)",left,
802035.3116001934,,"(384.0, 694.0)","(384.0, 694.0)",left,
802035.8095001429,,"(384.0, 694.0)","(384.0, 694.0)",left,
802036.3261001185,,"(384.0, 694.0)","(384.0, 694.0)",left,
802036.8778002448,,"(384.0, 694.0)","(384.0, 694.0)",left,
802037.3918004334,,"(384.0, 694.0)","(384.0, 694.0)",left,
802037.9306999967,,"(384.0, 694.0)","(384.0, 694.0)",left,
802038.9018002898,,"(384.0, 694.0)","(384.0, 694.0)",left,
802039.5212001167,,"(384.0, 694.0)","(384.0, 694.0)",left,
