timestamp,eyetrackerLog,sampledLook,avgPOS,curLook,response
255922.61000000872,startContingent,,,,
255923.9699000027,,"(465.0, 715.0)","(465.0, 715.0)",left,
255924.57210016437,,"(465.0, 715.0)","(465.0, 715.0)",left,
255925.09370017797,,"(465.0, 715.0)","(465.0, 715.0)",left,
255925.6682000123,,"(465.0, 715.0)","(465.0, 715.0)",left,
255926.18770012632,,"(465.0, 715.0)","(465.0, 715.0)",left,
255926.69880017638,,"(465.0, 715.0)","(465.0, 715.0)",left,
255927.21630004235,,"(465.0, 715.0)","(465.0, 715.0)",left,
255927.78430017643,,"(465.0, 715.0)","(465.0, 715.0)",left,
255928.31340013072,,"(465.0, 715.0)","(465.0, 715.0)",left,
255928.8262000773,,"(465.0, 715.0)","(465.0, 715.0)",left,
255929.33780001476,,"(465.0, 715.0)","(465.0, 715.0)",left,
255929.85199997202,,"(465.0, 715.0)","(465.0, 715.0)",left,
255930.38489995524,,"(465.0, 715.0)","(465.0, 715.0)",left,
255930.91090000235,,"(465.0, 715.0)","(465.0, 715.0)",left,
255931.4590001013,,"(465.0, 715.0)","(465.0, 715.0)",left,
255931.9990000222,,"(465.0, 715.0)","(465.0, 715.0)",left,
255932.54290008917,,"(465.0, 715.0)","(465.0, 715.0)",left,
255933.0643999856,,"(465.0, 715.0)","(465.0, 715.0)",left,
255933.58379998244,,"(465.0, 715.0)","(465.0, 715.0)",left,
255934.0991000645,,"(465.0, 715.0)","(465.0, 715.0)",left,
255934.6900000237,,"(462.0, 714.0)","(462.0, 714.0)",left,
255935.26219995692,,"(462.0, 714.0)","(462.0, 714.0)",left,
255935.82100002095,,"(462.0, 714.0)","(462.0, 714.0)",left,
255938.04790009744,,"(462.0, 714.0)","(462.0, 714.0)",left,
255938.61369998194,,"(462.0, 714.0)","(462.0, 714.0)",left,
255939.35859994963,,"(462.0, 714.0)","(462.0, 714.0)",left,
255940.2495000977,,"(462.0, 714.0)","(462.0, 714.0)",left,
255941.00420014,,"(462.0, 714.0)","(462.0, 714.0)",left,
255943.3457001578,,"(462.0, 714.0)","(462.0, 714.0)",left,
255944.1128000617,,"(462.0, 714.0)","(462.0, 714.0)",left,
255944.9180001393,,"(462.0, 714.0)","(462.0, 714.0)",left,
255945.7135000266,,"(462.0, 714.0)","(462.0, 714.0)",left,
255946.3311000727,,"(462.0, 714.0)","(462.0, 714.0)",left,
255946.86529994942,,"(462.0, 714.0)","(462.0, 714.0)",left,
255947.50570016913,,"(462.0, 714.0)","(462.0, 714.0)",left,
255948.16719996743,,"(462.0, 714.0)","(462.0, 714.0)",left,
255948.75039998442,,"(462.0, 714.0)","(462.0, 714.0)",left,
255949.2799001746,,"(462.0, 714.0)","(462.0, 714.0)",left,
255949.8079000041,,"(462.0, 714.0)","(462.0, 714.0)",left,
255950.3405999858,,"(462.0, 714.0)","(462.0, 714.0)",left,
255950.99560008384,,"(461.0, 716.0)","(461.0, 716.0)",left,
255951.52320014313,,"(461.0, 716.0)","(461.0, 716.0)",left,
255952.07520015538,,"(461.0, 716.0)","(461.0, 716.0)",left,
255954.21340013854,,"(461.0, 716.0)","(461.0, 716.0)",left,
255954.8427001573,,"(461.0, 716.0)","(461.0, 716.0)",left,
255955.4586999584,,"(461.0, 716.0)","(461.0, 716.0)",left,
255956.51080016978,,"(461.0, 716.0)","(461.0, 716.0)",left,
255957.22530013882,,"(461.0, 716.0)","(461.0, 716.0)",left,
255958.50590011105,,"(461.0, 716.0)","(461.0, 716.0)",left,
255959.37260007486,,"(461.0, 716.0)","(461.0, 716.0)",left,
255959.96570005082,,"(461.0, 716.0)","(461.0, 716.0)",left,
255960.48230002634,,"(461.0, 716.0)","(461.0, 716.0)",left,
255960.97550005652,,"(461.0, 716.0)","(461.0, 716.0)",left,
255961.4899000153,,"(461.0, 716.0)","(461.0, 716.0)",left,
255962.04040013254,,"(461.0, 716.0)","(461.0, 716.0)",left,
255962.5667000655,,"(461.0, 716.0)","(461.0, 716.0)",left,
255963.11659994535,,"(461.0, 716.0)","(461.0, 716.0)",left,
255963.672199985,,"(461.0, 716.0)","(461.0, 716.0)",left,
255964.19990016147,,"(461.0, 716.0)","(461.0, 716.0)",left,
255964.70520016737,,"(461.0, 716.0)","(461.0, 716.0)",left,
255965.2444999665,,"(461.0, 716.0)","(461.0, 716.0)",left,
255965.77859995887,,"(461.0, 716.0)","(461.0, 716.0)",left,
255966.3224001415,,"(461.0, 716.0)","(461.0, 716.0)",left,
255966.88219998032,,"(461.0, 716.0)","(461.0, 716.0)",left,
255969.12500006147,,"(461.0, 716.0)","(461.0, 716.0)",left,
255969.6998000145,,"(461.0, 716.0)","(461.0, 716.0)",left,
255970.2535001561,,"(461.0, 716.0)","(461.0, 716.0)",left,
255970.7860001363,,"(461.0, 716.0)","(461.0, 716.0)",left,
255971.34590009227,,"(461.0, 716.0)","(461.0, 716.0)",left,
255971.90490015782,,"(461.0, 716.0)","(461.0, 716.0)",left,
255972.81130007468,,"(461.0, 716.0)","(461.0, 716.0)",left,
255974.01530016214,,"(461.0, 716.0)","(461.0, 716.0)",left,
255974.57049996592,,"(461.0, 716.0)","(461.0, 716.0)",left,
255975.1248001121,,"(461.0, 716.0)","(461.0, 716.0)",left,
255975.6754001137,,"(461.0, 716.0)","(461.0, 716.0)",left,
255976.21079999954,,"(461.0, 716.0)","(461.0, 716.0)",left,
255976.7359001562,,"(461.0, 716.0)","(461.0, 716.0)",left,
255977.39679994993,,"(461.0, 716.0)","(461.0, 716.0)",left,
255978.36489998735,,"(461.0, 716.0)","(461.0, 716.0)",left,
255979.0662000887,,"(461.0, 716.0)","(461.0, 716.0)",left,
255979.64929998852,,"(461.0, 716.0)","(461.0, 716.0)",left,
255980.2370001562,,"(461.0, 716.0)","(461.0, 716.0)",left,
255980.8473000303,,"(461.0, 716.0)","(461.0, 716.0)",left,
255981.4830000978,,"(461.0, 716.0)","(461.0, 716.0)",left,
255984.53660006635,,"(461.0, 716.0)","(461.0, 716.0)",left,
255985.21960014477,,"(457.0, 712.0)","(457.0, 712.0)",left,
255985.90780002996,,"(457.0, 712.0)","(457.0, 712.0)",left,
255986.71670001931,,"(457.0, 712.0)","(457.0, 712.0)",left,
255987.66350001097,,"(457.0, 712.0)","(457.0, 712.0)",left,
255988.52280015126,,"(457.0, 712.0)","(457.0, 712.0)",left,
255989.51600003056,,"(457.0, 712.0)","(457.0, 712.0)",left,
255990.3568001464,,"(457.0, 712.0)","(457.0, 712.0)",left,
255991.73160013743,,"(457.0, 712.0)","(457.0, 712.0)",left,
