timestamp,eyetrackerLog,sampledLook,avgPOS,curLook,response
1876797.2195001785,startContingent,,,,
1876799.6839999687,,"(401.0, 496.0)","(401.0, 496.0)",left,
1876800.5592001136,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876801.1431000195,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876801.730300067,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876802.2974999622,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876802.9499000404,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876803.6625999957,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876804.2320001405,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876804.7760999762,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876805.3129999898,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876805.8415001724,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876806.3640000764,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876806.9325999822,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876807.482500095,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876808.0252001528,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876808.5735000204,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876809.093600139,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876809.7777999938,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876814.250000054,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876814.9535001721,,"(405.0, 497.0)","(405.0, 497.0)",left,
1876815.6620999798,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876816.36980013,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876816.9657001272,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876817.5125000998,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876818.0670000147,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876818.8008000143,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876819.3655000068,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876819.9230001774,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876820.47590008,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876821.0040000267,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876821.5394001454,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876822.076600045,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876822.591100121,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876823.1220999733,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876823.6772001255,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876824.2105001118,,"(405.0, 527.0)","(405.0, 527.0)",left,
1876824.742200086,,"(405.0, 527.0)","(405.0, 527.0)",left,
