pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
313.172		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
352.238		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
352.388		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
381.692		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
398.172		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
415.44		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
432.618		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
449.983		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
466.854		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
467.002		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
483.326		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
500.5		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
517.932		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
535.287		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
549.998		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
566.678		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
583.687		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
600.101		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
616.326		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
633.167		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
650.326		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
667.883		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
685.294		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
705.681		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
716.84		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
733.265		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
750.163		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
766.661		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
783.081		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
800.344		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
817.701		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
835.216		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
