pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
326.8		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
363.34		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
363.527		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
379.53		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
396.393		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
413.667		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
430.785		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
448.202		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
465.165		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
488.754		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
496.702		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
512.89		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
529.599		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
546.019		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
563.352		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
580.958		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
598.398		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
612.929		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
629.627		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
646.332		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
663.046		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
679.65		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
696.391		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
713.154		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
730.601		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
747.976		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
762.666		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
779.561		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
796.338		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
812.769		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
829.483		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
845.936		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
863.665		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
880.623		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
903.476		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
912.61		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
929.31		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
946.79		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
962.678		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
979.64		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
996.232		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1004.263	Experiment BabyInfo subjCode BabyInfo_testdummy2 TrialNumber 1 TrialType training
1008.468	startScreen
1013.054		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1030.533		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1047.643		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1062.439		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1079.32		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1095.767		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1112.591		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1129.21		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1145.885		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1163.202		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1180.509		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1197.69		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1212.262		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1228.971		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1245.757		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1262.441		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1279.06		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1295.702		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1313.041		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1330.483		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1347.632		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1362.292		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1378.931		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1395.501		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1420.318		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1428.849		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1445.57		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1471.162		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1480.332		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1497.934		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1512.105		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1528.898		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1545.41		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1562.052		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1578.774		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1595.404		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1612.72		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1630.163		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1647.641		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1662.344		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1678.78		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1695.439		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1711.852		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1728.655		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1745.447		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1763.228		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1779.927		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1797.519		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1812.133		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1828.844		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1845.353		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1862.215		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1878.504		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1895.164		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1912.477		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1929.735		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1947.265		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1961.957		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1978.613		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1995.406		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2011.883		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2014.333	startContingent
2028.575		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2044.939		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2062.315		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2079.699		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2097.089		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2111.768		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2128.469		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2145.24		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2161.936		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2178.322		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2199.181		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2212.083		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2229.587		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2246.955		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2261.67		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2278.537		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2295.06		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2311.765		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2328.428		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2344.962		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2362.213		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2379.345		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2396.74		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2411.504		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2480.077		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2480.356		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2480.448		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2485.099		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2495.036		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2512.001		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2529.517		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2547.051		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2561.374		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2578.075		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2594.842		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2611.413		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2628.175		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2644.917		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2662.168		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2679.236		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2697.964		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2711.341		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2727.977		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
