pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
319.006		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
334.732		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
351.271		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
367.853		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
384.514		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
401.542		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
418.603		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
436.028		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
453.226		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
467.773		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
484.463		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
501.469		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
517.7		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
534.046		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
550.695		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
567.972		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
585.454		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
603.109		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
619.254		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
634.078		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
650.728		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
667.479		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
684.173		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
