pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
299.845		451.0	409.0	1	484.0	396.0	1	468	402	4.188	1	4.2734	1
316.45		453.0	409.0	1	463.0	521.0	1	458	465	4.1879	1	3.7802	1
328.466		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
340.119		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
362.728		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
379.363		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
420.542		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
466.667		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
467.168		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
498.795		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
499.011		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
499.196		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
520.335		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
520.608		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
535.415		411.0	298.0	1	462.0	275.0	1	436	286	4.2768	1	4.3181	1
552.083		412.0	301.0	1	462.0	276.0	1	437	288	4.3035	1	4.3297	1
577.007		415.0	303.0	1	463.0	276.0	1	439	289	4.264	1	4.3286	1
602.337		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
602.519		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
617.949		416.0	297.0	1	463.0	276.0	1	440	286	4.3234	1	4.3512	1
634.829		415.0	305.0	1	460.0	273.0	1	438	289	4.3196	1	4.3558	1
651.401		418.0	304.0	1	459.0	270.0	1	438	287	4.2947	1	4.3596	1
667.999		414.0	297.0	1	462.0	271.0	1	438	284	4.3257	1	4.355	1
