pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
297.867		482.0	385.0	1	512.0	416.0	1	497	400	4.5897	1	4.3612	1
314.506		479.0	382.0	1	511.0	414.0	1	495	398	4.5923	1	4.3635	1
330.927		482.0	383.0	1	515.0	417.0	1	498	400	4.5896	1	4.3805	1
348.303		483.0	382.0	1	514.0	416.0	1	498	399	4.5697	1	4.3813	1
364.329		482.0	385.0	1	517.0	412.0	1	500	398	4.5847	1	4.3902	1
381.498		481.0	386.0	1	514.0	414.0	1	498	400	4.5944	1	4.3838	1
395.104		480.0	385.0	1	520.0	417.0	1	500	401	4.5736	1	4.3772	1
415.027		480.0	384.0	1	516.0	415.0	1	498	399	4.5954	1	4.3939	1
433.459		481.0	384.0	1	518.0	417.0	1	500	400	4.5883	1	4.3871	1
447.909		482.0	380.0	1	516.0	417.0	1	499	398	4.5999	1	4.381	1
464.304		482.0	382.0	1	514.0	418.0	1	498	400	4.6139	1	4.3919	1
481.184		479.0	383.0	1	512.0	421.0	1	496	402	4.5893	1	4.3918	1
497.715		482.0	383.0	1	514.0	415.0	1	498	399	4.5927	1	4.3938	1
514.71		482.0	382.0	1	519.0	414.0	1	500	398	4.6014	1	4.4061	1
531.723		480.0	381.0	1	511.0	420.0	1	496	400	4.6141	1	4.3911	1
548.543		480.0	386.0	1	517.0	421.0	1	498	403	4.5984	1	4.3964	1
564.952		480.0	390.0	1	515.0	421.0	1	498	405	4.5946	1	4.4017	1
580.936		479.0	390.0	1	516.0	418.0	1	498	404	4.5984	1	4.3939	1
597.305		480.0	388.0	1	514.0	421.0	1	497	404	4.5994	1	4.4023	1
614.008		481.0	389.0	1	514.0	423.0	1	498	406	4.615	1	4.4051	1
630.701		481.0	390.0	1	513.0	424.0	1	497	407	4.6156	1	4.3955	1
648.42		479.0	390.0	1	511.0	423.0	1	495	406	4.6019	1	4.3978	1
664.288		480.0	387.0	1	512.0	422.0	1	496	404	4.6204	1	4.4053	1
681.592		480.0	390.0	1	513.0	423.0	1	496	406	4.6269	1	4.4031	1
698.09		480.0	391.0	1	513.0	422.0	1	496	406	4.6301	1	4.406	1
714.675		478.0	392.0	1	513.0	423.0	1	496	407	4.6412	1	4.4057	1
731.039		480.0	396.0	1	514.0	426.0	1	497	411	4.6325	1	4.4193	1
748.053		476.0	393.0	1	516.0	423.0	1	496	408	4.6243	1	4.431	1
763.932		481.0	392.0	1	514.0	424.0	1	498	408	4.6571	1	4.4361	1
781.682		479.0	392.0	1	512.0	421.0	1	496	406	4.6633	1	4.4298	1
797.398		479.0	393.0	1	516.0	421.0	1	498	407	4.655	1	4.4409	1
813.991		466.0	396.0	1	507.0	422.0	1	486	409	4.6886	1	4.457	1
830.618		453.0	398.0	1	497.0	427.0	1	475	412	4.6782	1	4.4793	1
