pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
312.936		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
348.455		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
348.585		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
364.534		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
381.999		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
399.572		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
413.945		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
430.688		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
447.365		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
463.928		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
480.818		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
497.393		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
514.756		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
532.451		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
549.621		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
564.303		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
580.176		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
596.847		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
613.661		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
630.396		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
647.262		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
664.466		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
681.847		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
699.443		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
713.785		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
