pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
310.055		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
337.685		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
338.208		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
370.043		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
370.523		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
394.682		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
402.732		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
419.749		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
436.291		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
452.886		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
476.868		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
487.517		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
504.906		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
519.901		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
536.067		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
552.736		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
569.1		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
585.952		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
602.521		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
620.103		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
637.293		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
654.73		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
669.462		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
686.237		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
702.754		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
719.62		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
735.87		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
752.569		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
769.856		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
787.318		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
804.702		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
819.452		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
835.891		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
852.611		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
869.191		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
886.093		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
902.376		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
919.693		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
937.134		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
954.485		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
969.346		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
986.12		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1002.742		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1009.883	Experiment BabyInfo subjCode Prac1376 trialOrder 1 trialType AG trialID 1 blockID None speaker None speakerPos None leftImage None rightImage None leftAudio None rightAudio None trialDuration None trialStartSilence None trialEndSilence None AG 1 AGType movie AGImage None AGAudio spinningballs_5 AGVideo spinningballs_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1012.454	presentAGAudio
1012.688	presentAGMovie
1019.189		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1035.622		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1052.41		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1069.361		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1086.899		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1104.235		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1119.235		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1135.85		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1152.49		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1169.542		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1186.059		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1202.572		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1219.864		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
