pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
295.479		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
324.489		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
324.924		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
341.159		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
357.825		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
374.705		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
390.936		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
407.594		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
424.731		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
442.217		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
459.608		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
474.259		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
490.773		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
507.484		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
524.265		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
541.11		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
557.851		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
574.565		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
592.409		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
609.313		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
624.131		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
640.786		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
657.983		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
674.51		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
691.083		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
707.689		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
724.806		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
741.839		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
759.467		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
774.152		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
790.621		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
807.383		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
824.252		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
840.905		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
857.237		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
882.986		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
897.914		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
908.887		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
923.579		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
940.296		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
957.03		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
973.77		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
990.62		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1006.108	Experiment BabyInfo subjCode Prac1384test trialOrder 1 trialType AG trialID 1 blockID None speaker None speakerPos None leftImage None rightImage None leftAudio None rightAudio None trialDuration None trialStartSilence None trialEndSilence None AG 1 AGType movie AGImage None AGAudio spinningballs_5 AGVideo spinningballs_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1007.977		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1009.055	presentAGAudio
1009.325	presentAGMovie
1024.944		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1041.819		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1059.217		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1073.591		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1090.307		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1106.932		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1123.945		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1140.487		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1159.555		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1174.622		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1191.698		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1209.028		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1223.636		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1240.104		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1256.934		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1273.862		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1290.422		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1306.861		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1324.252		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1341.51		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1358.993		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1373.994		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1390.276		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1407.099		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1423.613		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1440.467		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1456.701		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1473.966		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1491.483		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1508.961		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1523.841		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1540.107		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1556.711		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1573.221		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1590.047		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1606.575		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1623.869		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1641.34		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1658.671		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1673.297		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1689.96		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1706.777		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1723.438		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1739.73		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1756.755		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1774.066		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1791.358		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1808.966		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1823.722		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1840.776		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1856.937		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1873.757		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1890.115		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1906.371		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1923.452		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1940.906		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1958.421		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1973.087		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1989.797		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2006.682		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2024.311		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2049.946		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2064.92		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2073.345		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2090.704		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2108.129		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2122.883		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2139.566		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2165.087		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2173.208		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2189.728		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2206.444		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2223.545		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2240.815		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2258.368		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2281.267		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2289.525		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2306.403		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2323.106		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2339.769		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2356.495		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2373.806		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2390.999		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2408.063		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2422.511		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2439.186		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2455.988		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2472.797		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2490.055		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2506.251		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2523.595		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2541.053		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2558.346		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2572.885		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2589.38		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2606.217		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2622.921		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2639.15		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2655.937		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2673.186		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2690.771		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2707.928		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2722.505		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2738.943		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2755.608		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2772.347		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2789.179		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2805.869		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2824.944		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2840.583		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2857.813		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2872.585		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2889.064		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2905.572		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2922.33		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2939.133		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2955.795		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2973.275		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2990.634		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3007.975		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3022.374		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3039.099		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3055.614		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3072.166		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3102.689		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3109.592		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3122.993		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3140.173		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3157.53		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3177.909		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3188.816		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3205.7		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3222.215		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3238.998		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3255.516		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3272.727		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3293.033		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3307.616		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3322.387		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3339.047		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3355.804		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3372.575		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3388.98		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3405.449		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3422.643		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3440.037		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3457.192		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3472.044		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3488.68		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3505.487		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3522.203		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3539.216		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3555.593		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3572.64		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3590.166		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3607.283		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3622.205		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3638.515		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3655.315		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3671.934		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3688.617		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3705.275		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3722.401		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3739.629		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3757.012		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3771.616		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
