pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
306.372		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
341.465		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
342.088		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
357.905		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
374.335		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
391.009		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
407.437		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
424.948		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
442.165		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
459.671		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
474.235		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
490.909		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
507.723		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
524.605		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
540.534		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
557.223		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
577.074		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
591.901		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
609.426		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
624.377		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
649.253		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
657.93		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
674.361		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
691.015		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
707.479		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
724.752		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
741.796		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
759.167		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
774.023		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
790.831		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
807.297		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
824.002		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
840.843		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
857.484		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
874.628		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
892.095		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
909.052		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
923.539		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
940.245		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
956.947		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
973.826		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
990.534		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1007.228		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1014.813	Experiment BabyInfo subjCode testedie2 trialOrder 1 trialType AG trialID 1 blockID None speaker None speakerPos None leftImage None rightImage None leftAudio None rightAudio None trialDuration None trialStartSilence None trialEndSilence None AG 1 AGType movie AGImage None AGAudio spinningballs_5 AGVideo spinningballs_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1018.62	presentAGAudio
1018.905	presentAGMovie
1025.977		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1041.631		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1059.0		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1073.629		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1090.125		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1106.944		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1123.707		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1140.523		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1157.212		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1174.781		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1192.334		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1209.197		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1223.839		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1240.214		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1256.959		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1273.393		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1290.068		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1306.777		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1324.188		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1341.791		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1359.222		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1373.907		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1390.453		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1406.897		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1423.541		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1440.3		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1457.0		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1474.143		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1491.621		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1509.038		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1523.829		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1540.166		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1556.941		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1581.667		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1590.045		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1606.88		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1624.123		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1641.462		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1662.558		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1673.585		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1690.31		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1706.561		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1723.252		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1739.897		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1756.354		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1773.701		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1791.325		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1808.847		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1823.421		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1840.186		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1856.905		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1873.355		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1890.032		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1906.159		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1923.473		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1940.913		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1958.43		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1973.277		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1989.971		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2006.416		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2023.118		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2039.58		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2056.388		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2073.595		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2091.036		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2108.457		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2123.274		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2139.837		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2156.622		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2173.303		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2190.031		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2206.486		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2223.732		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2240.807		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2258.254		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2272.726		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2289.396		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2306.075		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2322.836		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2339.795		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2356.594		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2373.326		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2390.619		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2407.891		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2422.555		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2439.358		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2456.312		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2477.641		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2493.707		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2506.159		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2523.487		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2540.574		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2557.94		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2572.474		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2596.145		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2606.048		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2623.019		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2639.666		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2656.134		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2673.681		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2691.051		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2708.522		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2722.881		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2739.455		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2756.059		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2772.934		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2789.019		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2805.657		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2823.056		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2840.527		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2858.18		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2872.638		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2889.431		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2905.805		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2922.684		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2939.367		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2955.977		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2973.138		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3005.277		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3007.898		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3022.404		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3038.806		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3055.49		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3072.263		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3088.937		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3105.718		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3123.018		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3140.445		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3157.844		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3172.57		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3189.204		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3205.788		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3222.501		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3239.878		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3255.63		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3272.598		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3290.058		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3307.366		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3322.064		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3338.724		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3355.497		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
