pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
308.452		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
322.401		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
339.1		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
355.898		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
372.44		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
388.562		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
405.271		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
422.73		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
440.17		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
457.817		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
472.181		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
488.602		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
505.398		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
522.348		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
538.944		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
555.719		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
572.759		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
590.167		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
607.668		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
622.488		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
638.917		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
655.615		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
672.227		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
688.911		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
705.61		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
722.692		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
739.616		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
757.152		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
771.813		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
788.456		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
805.321		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
821.923		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
838.674		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
855.574		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
872.748		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
889.92		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
907.375		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
921.971		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
938.663		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
955.601		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
972.144		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
988.568		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1005.308		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1010.148	Experiment BabyInfo subjCode testedie trialOrder 1 trialType AG trialID 1 blockID None speaker None speakerPos None leftImage None rightImage None leftAudio None rightAudio None trialDuration None trialStartSilence None trialEndSilence None AG 1 AGType movie AGImage None AGAudio spinningballs_5 AGVideo spinningballs_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1012.002	presentAGAudio
1012.245	presentAGMovie
1022.24		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1040.888		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1057.016		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1071.46		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1088.19		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1104.991		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1121.684		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1138.554		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1155.009		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1172.361		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1190.09		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1207.117		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
