pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
310.783		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
344.036		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
344.599		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
360.541		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
377.891		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
395.434		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
409.96		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
426.818		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
443.253		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
459.895		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
476.715		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
493.086		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
510.384		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
527.956		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
545.254		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
559.823		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
576.554		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
593.304		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
609.797		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
626.79		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
643.063		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
660.235		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
677.659		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
694.943		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
709.917		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
726.587		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
743.246		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
759.891		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
776.288		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
792.938		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
810.24		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
827.632		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
844.851		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
859.726		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
876.262		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
893.039		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
909.582		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
926.553		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
942.893		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
959.992		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
977.487		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
994.816		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
