pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
296.043		838.0	1187.0	1	809.0	1181.0	1	824	1184	4.0167	1	3.8522	1
313.957		842.0	1183.0	1	813.0	1176.0	1	828	1179	4.0045	1	3.8678	1
329.096		838.0	1180.0	1	809.0	1176.0	1	824	1178	4.016	1	3.8616	1
346.111		845.0	1181.0	1	812.0	1176.0	1	828	1178	4.0362	1	3.8668	1
372.179		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
396.173		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
396.336		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
412.743		841.0	1180.0	1	812.0	1178.0	1	826	1179	4.0275	1	3.8731	1
429.212		839.0	1183.0	1	810.0	1175.0	1	824	1179	4.0249	1	3.8824	1
446.057		841.0	1184.0	1	811.0	1175.0	1	826	1179	4.0482	1	3.8819	1
462.64		841.0	1182.0	1	812.0	1171.0	1	826	1176	4.0425	1	3.8952	1
479.69		787.0	1099.0	1	779.0	1082.0	1	783	1090	4.0617	1	3.9006	1
495.797		729.0	984.0	1	703.0	966.0	1	716	975	4.0727	1	3.9152	1
512.822		665.0	862.0	1	649.0	838.0	1	657	850	4.0863	1	3.9309	1
529.602		637.0	751.0	1	614.0	724.0	1	626	737	4.0828	1	3.948	1
546.472		624.0	664.0	1	603.0	647.0	1	614	655	4.0864	1	3.9561	1
563.173		627.0	613.0	1	596.0	606.0	1	612	609	4.0912	1	3.9358	1
581.74		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
595.703		625.0	613.0	1	595.0	605.0	1	610	609	4.0892	1	3.946	1
612.538		618.0	619.0	1	599.0	606.0	1	608	612	4.0857	1	3.9339	1
629.356		621.0	618.0	1	596.0	604.0	1	608	611	4.0856	1	3.9441	1
646.108		614.0	619.0	1	599.0	605.0	1	606	612	4.0859	1	3.9362	1
662.251		613.0	616.0	1	595.0	606.0	1	604	611	4.0738	1	3.9378	1
678.787		619.0	624.0	1	591.0	609.0	1	605	616	4.074	1	3.9397	1
695.626		615.0	612.0	1	595.0	607.0	1	605	609	4.0952	1	3.9274	1
712.491		619.0	612.0	1	589.0	604.0	1	604	608	4.0759	1	3.9422	1
728.916		621.0	616.0	1	596.0	608.0	1	608	612	4.079	1	3.9368	1
745.964		617.0	613.0	1	589.0	602.0	1	603	607	4.0767	1	3.9472	1
762.065		614.0	613.0	1	589.0	609.0	1	602	611	4.0747	1	3.9311	1
778.84		615.0	611.0	1	590.0	608.0	1	602	609	4.0744	1	3.925	1
795.656		617.0	611.0	1	587.0	604.0	1	602	607	4.0917	1	3.9426	1
811.938		612.0	612.0	1	591.0	608.0	1	602	610	4.0688	1	3.9434	1
828.352		622.0	614.0	1	589.0	608.0	1	606	611	4.0863	1	3.943	1
845.445		618.0	608.0	1	591.0	606.0	1	604	607	4.0887	1	3.9341	1
861.934		610.0	501.0	1	605.0	500.0	1	608	500	4.1026	1	3.9528	1
878.596		634.0	382.0	1	633.0	382.0	1	634	382	4.0774	1	3.9425	1
895.323		659.0	257.0	1	658.0	275.0	1	658	266	4.089	1	3.9606	1
