pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
319.329		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
351.095		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
351.216		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
367.747		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
382.338		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
402.21		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
427.359		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
443.802		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
443.927		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
460.892		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
489.526		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
502.512		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
520.295		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
536.686		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
552.507		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
568.195		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
580.799		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
604.537		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
618.083		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
635.341		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
651.842		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
668.389		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
686.898		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
703.522		702.0	1178.0	1	739.0	1091.0	1	720	1134	3.6679	1	4.0827	1
719.88		701.0	1188.0	1	685.0	1150.0	1	693	1169	3.6796	1	3.9171	1
734.254		739.0	1209.0	1	741.0	1163.0	1	740	1186	3.6964	1	3.9407	1
752.918		825.0	1242.0	1	835.0	1163.0	1	830	1202	3.7087	1	4.1372	1
769.994		813.0	1211.0	1	831.0	1182.0	1	822	1196	3.7085	1	4.2099	1
787.755		827.0	1244.0	1	869.0	1181.0	1	848	1212	3.7024	1	4.1429	1
802.88		825.0	1221.0	1	846.0	1171.0	1	836	1196	3.7172	1	4.2366	1
820.769		812.0	1234.0	1	812.0	1209.0	1	812	1221	3.7183	1	3.9427	1
836.905		826.0	1229.0	1	833.0	1175.0	1	830	1202	3.6993	1	4.2103	1
853.535		826.0	1226.0	1	834.0	1165.0	1	830	1195	3.7268	1	4.1571	1
897.679		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
897.799		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
920.321		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
920.444		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
936.783		876.0	1236.0	1	840.0	1181.0	1	858	1208	3.9709	1	4.3327	1
952.598		862.0	1237.0	1	847.0	1162.0	1	854	1199	3.832	1	4.3384	1
968.173		865.0	1229.0	1	791.0	1158.0	1	828	1193	3.9349	1	4.2271	1
987.527		851.0	1237.0	1	848.0	1182.0	1	850	1209	3.896	1	4.254	1
1000.5		832.0	1249.0	1	876.0	1183.0	1	854	1216	3.9528	1	4.3868	1
1009.949	Experiment BabyInfo subjCode BI108 trialOrder 1 trialType AG trialID 1 blockID None speaker None speakerPos None leftImage None rightImage None leftAudio None rightAudio None trialDuration None trialStartSilence None trialEndSilence None AG 1 AGType movie AGImage None AGAudio spinningballs_5 AGVideo spinningballs_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1010.228	presentAGAudio
1010.297	presentAGMovie
1019.146		879.0	1251.0	1	872.0	1190.0	1	876	1220	3.9293	1	4.3575	1
1035.229		865.0	1232.0	1	867.0	1146.0	1	866	1189	3.8586	1	4.4036	1
1050.737		858.0	1238.0	1	829.0	1215.0	1	844	1226	3.9255	1	4.3086	1
1068.987		854.0	1229.0	1	842.0	1182.0	1	848	1205	3.9683	1	4.1446	1
1085.777		854.0	1227.0	1	847.0	1166.0	1	850	1196	3.9532	1	4.3127	1
1102.074		863.0	1215.0	1	873.0	1149.0	1	868	1182	3.9696	1	4.3237	1
1123.457		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1151.771		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1151.92		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1167.391		860.0	1251.0	1	839.0	1202.0	1	850	1226	4.0838	1	4.1883	1
1183.95		863.0	1221.0	1	857.0	1205.0	1	860	1213	3.9701	1	4.4026	1
1202.685		837.0	1271.0	1	859.0	1157.0	1	848	1214	4.359	1	4.3523	1
1221.182		795.0	1254.0	1	856.0	1194.0	1	826	1224	4.4266	1	4.4179	1
1236.32		750.0	1230.0	1	863.0	1187.0	1	806	1208	4.4946	1	4.4209	1
1252.736		777.0	1226.0	1	842.0	1202.0	1	810	1214	4.4322	1	4.4414	1
1270.6		829.0	1229.0	1	876.0	1228.0	1	852	1228	4.0187	1	4.4043	1
1286.473		839.0	1227.0	1	817.0	1229.0	1	828	1228	3.9178	1	4.1818	1
1302.257		840.0	1221.0	1	822.0	1240.0	1	831	1230	3.896	1	4.1694	1
1321.004		840.0	1232.0	1	816.0	1248.0	1	828	1240	3.898	1	4.1734	1
1335.875		836.0	1228.0	1	822.0	1234.0	1	829	1231	3.9082	1	4.1809	1
1352.53		843.0	1236.0	1	819.0	1242.0	1	831	1239	3.9008	1	4.1757	1
1371.206		850.0	1227.0	1	816.0	1244.0	1	833	1235	3.9031	1	4.1716	1
1386.118		848.0	1238.0	1	820.0	1236.0	1	834	1237	3.8765	1	4.1644	1
1402.6		827.0	1018.0	1	845.0	1038.0	1	836	1028	3.8772	1	4.1553	1
1419.3		874.0	734.0	1	890.0	735.0	1	882	734	3.8217	1	4.1311	1
1437.449		891.0	673.0	1	890.0	678.0	1	890	675	3.7756	1	4.075	1
1452.82		893.0	620.0	1	897.0	623.0	1	895	621	3.7723	1	4.092	1
1468.975		901.0	639.0	1	898.0	655.0	1	900	647	3.6976	1	4.0242	1
1487.516		894.0	646.0	1	893.0	656.0	1	894	651	3.6577	1	3.9695	1
1501.628		902.0	645.0	1	889.0	655.0	1	896	650	3.615	1	3.902	1
1518.593		899.0	645.0	1	888.0	658.0	1	894	651	3.5906	1	3.8558	1
1537.242		906.0	646.0	1	887.0	659.0	1	896	652	3.5595	1	3.8279	1
1551.623		903.0	658.0	1	892.0	660.0	1	898	659	3.5334	1	3.8021	1
1568.678		904.0	644.0	1	892.0	655.0	1	898	649	3.508	1	3.7718	1
1586.947		906.0	649.0	1	886.0	650.0	1	896	649	3.4805	1	3.7527	1
1601.36		907.0	659.0	1	889.0	660.0	1	898	659	3.4696	1	3.7346	1
1622.547		907.0	655.0	1	883.0	664.0	1	895	659	3.4515	1	3.7099	1
1636.186		908.0	654.0	1	889.0	660.0	1	898	657	3.4409	1	3.7065	1
1652.903		910.0	657.0	1	883.0	655.0	1	896	656	3.4351	1	3.6878	1
1667.925		901.0	651.0	1	880.0	652.0	1	890	651	3.4253	1	3.6752	1
1684.429		901.0	653.0	1	880.0	655.0	1	890	654	3.4044	1	3.6748	1
1701.168		912.0	654.0	1	883.0	651.0	1	898	652	3.4037	1	3.6589	1
1717.567		905.0	643.0	1	885.0	657.0	1	895	650	3.4085	1	3.6601	1
1736.901		909.0	652.0	1	875.0	657.0	1	892	654	3.4034	1	3.6462	1
1751.003		911.0	646.0	1	881.0	658.0	1	896	652	3.3925	1	3.6508	1
1767.613		910.0	648.0	1	882.0	649.0	1	896	648	3.3683	1	3.6246	1
1786.792		915.0	652.0	1	878.0	656.0	1	896	654	3.3752	1	3.6318	1
1801.639		913.0	649.0	1	885.0	653.0	1	899	651	3.3664	1	3.6172	1
1817.229		903.0	649.0	1	879.0	659.0	1	891	654	3.3626	1	3.6065	1
1835.98		900.0	655.0	1	879.0	653.0	1	890	654	3.362	1	3.5982	1
1850.386		907.0	652.0	1	891.0	654.0	1	899	653	3.3597	1	3.5905	1
1869.275		906.0	648.0	1	882.0	654.0	1	894	651	3.3485	1	3.5862	1
1901.463		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1918.737		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1918.924		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1934.135		912.0	647.0	1	886.0	656.0	1	899	651	3.325	1	3.5566	1
1950.808		909.0	649.0	1	882.0	661.0	1	896	655	3.3063	1	3.5561	1
1967.997		898.0	642.0	1	883.0	658.0	1	890	650	3.3057	1	3.5353	1
1985.298		905.0	660.0	1	879.0	652.0	1	892	656	3.3055	1	3.5351	1
2002.383		905.0	650.0	1	875.0	660.0	1	890	655	3.2906	1	3.5219	1
2017.952		896.0	656.0	1	882.0	648.0	1	889	652	3.2855	1	3.5158	1
2033.68		907.0	648.0	1	875.0	657.0	1	891	652	3.2796	1	3.4957	1
