pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
300.778		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
317.588		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
334.722		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
352.053		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
369.617		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
384.293		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
401.181		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
417.864		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
433.893		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
450.701		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
467.245		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
484.435		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
501.784		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
519.667		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
534.098		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
550.744		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
567.503		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
583.906		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
600.551		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
617.319		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
634.444		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
651.678		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
