pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
298.144		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
314.833		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
331.412		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
348.193		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
365.403		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
382.65		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
399.97		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
414.933		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
431.851		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
448.148		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
464.593		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
481.273		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
497.934		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
515.728		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
532.757		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
549.885		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
564.491		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
581.296		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
597.955		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
614.663		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
631.149		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
647.772		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
665.05		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
682.657		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
700.007		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
714.522		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
731.158		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
747.917		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
764.484		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
781.231		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
797.699		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
814.871		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
832.39		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
