pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
302.801		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
319.199		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
335.604		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
352.372		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
368.953		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
386.267		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
403.658		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
421.303		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
435.77		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
452.489		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
475.127		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
488.082		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
502.355		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
518.909		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
536.144		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
553.518		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
570.88		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
585.69		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
602.344		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
627.368		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
635.501		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
652.412		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
668.732		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
686.413		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
703.506		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
720.715		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
735.408		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
752.172		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
768.927		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
785.8		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
802.135		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
818.753		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
840.834		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
853.287		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
870.582		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
885.341		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
902.191		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
918.742		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
935.493		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
952.398		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
968.688		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
985.909		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1003.082		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1012.519	Experiment BabyInfo subjCode Prac 1398 trialOrder 3 trialType AG trialID 1 blockID None speaker None speakerPos None leftImage None rightImage None leftAudio None rightAudio None trialDuration None trialStartSilence None trialEndSilence None AG 1 AGType movie AGImage None AGAudio spinningballs_5 AGVideo spinningballs_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1013.399	presentAGAudio
1013.466	presentAGMovie
