pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
292.585		1432.0	1135.0	1	1439.0	1139.0	1	1436	1137	3.6674	1	3.8439	1
309.583		1435.0	1130.0	1	1446.0	1127.0	1	1440	1128	3.7048	1	3.8893	1
328.09		1431.0	1129.0	1	1417.0	1140.0	1	1424	1134	3.6911	1	3.826	1
345.372		1448.0	1137.0	1	1421.0	1133.0	1	1434	1135	3.7172	1	3.859	1
361.632		1442.0	1128.0	1	1422.0	1141.0	1	1432	1134	3.7223	1	3.8741	1
378.409		1437.0	1126.0	1	1426.0	1140.0	1	1432	1133	3.7209	1	3.8612	1
395.283		1440.0	1130.0	1	1427.0	1152.0	1	1434	1141	3.7315	1	3.8953	1
411.663		1444.0	1132.0	1	1416.0	1136.0	1	1430	1134	3.7403	1	3.909	1
428.316		1437.0	1129.0	1	1413.0	1145.0	1	1425	1137	3.7246	1	3.901	1
445.305		1439.0	1129.0	1	1419.0	1142.0	1	1429	1135	3.7507	1	3.906	1
461.913		1437.0	1122.0	1	1428.0	1143.0	1	1432	1132	3.7422	1	3.9099	1
478.716		1434.0	1125.0	1	1430.0	1142.0	1	1432	1133	3.7609	1	3.9381	1
509.693		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
509.864		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
526.426		1428.0	1133.0	1	1428.0	1152.0	1	1428	1142	3.8649	1	3.9702	1
543.299		1437.0	1130.0	1	1421.0	1143.0	1	1429	1136	3.8515	1	4.0021	1
559.479		1438.0	1141.0	1	1425.0	1148.0	1	1432	1144	3.8623	1	4.0124	1
580.79		1450.0	1147.0	1	1435.0	1141.0	1	1442	1144	3.8969	1	4.0074	1
593.249		1458.0	1137.0	1	1414.0	1133.0	1	1436	1135	3.8647	1	4.0135	1
609.529		1438.0	1139.0	1	1426.0	1150.0	1	1432	1144	3.8803	1	4.0073	1
630.139		1447.0	1149.0	1	1428.0	1156.0	1	1438	1152	3.9033	1	4.0287	1
645.38		1435.0	1133.0	1	1429.0	1157.0	1	1432	1145	3.8395	1	3.9972	1
661.236		1432.0	1129.0	1	1418.0	1144.0	1	1425	1136	3.8493	1	4.0347	1
677.978		1437.0	1135.0	1	1423.0	1164.0	1	1430	1149	3.8703	1	3.9975	1
692.807		1430.0	1137.0	1	1429.0	1155.0	1	1430	1146	3.8469	1	4.0727	1
711.811		1441.0	1138.0	1	1419.0	1161.0	1	1430	1149	3.8702	1	4.0343	1
728.375		1434.0	1134.0	1	1411.0	1158.0	1	1422	1146	3.8632	1	4.0338	1
744.763		1433.0	1142.0	1	1408.0	1149.0	1	1420	1145	3.8956	1	4.0418	1
761.687		1432.0	1140.0	1	1417.0	1163.0	1	1424	1151	3.894	1	4.0571	1
778.283		1435.0	1129.0	1	1415.0	1153.0	1	1425	1141	3.904	1	4.0677	1
794.631		1428.0	1138.0	1	1404.0	1148.0	1	1416	1143	3.9212	1	4.0777	1
811.914		1432.0	1142.0	1	1408.0	1147.0	1	1420	1144	3.9056	1	4.0907	1
828.869		1413.0	1135.0	1	1404.0	1148.0	1	1408	1141	3.9254	1	4.0712	1
845.587		1433.0	1136.0	1	1413.0	1139.0	1	1423	1137	3.9361	1	4.1195	1
861.814		1432.0	1142.0	1	1413.0	1136.0	1	1422	1139	3.9351	1	4.1123	1
878.948		1426.0	1130.0	1	1416.0	1146.0	1	1421	1138	3.9492	1	4.1505	1
