pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
338.047		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
434.432		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
434.913		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
435.338		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
435.664		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
452.804		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
453.322		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
453.696		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
454.01		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
454.326		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
501.137		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
633.212		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
633.324		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
633.394		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
796.442		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
797.019		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
799.995		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
800.406		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
800.769		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
801.111		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
895.782		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
899.14		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
899.871		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
900.308		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
900.668		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
900.985		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
901.29		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
901.734		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
902.079		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
902.497		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
902.8		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
903.097		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
946.041		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
946.643		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
947.085		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
947.472		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
947.776		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
948.151		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1002.563	Experiment BabyInfo subjCode Prac1384 trialOrder 1 trialType AG trialID 1 blockID None speaker None speakerPos None leftImage None rightImage None leftAudio None rightAudio None trialDuration None trialStartSilence None trialEndSilence None AG 1 AGType movie AGImage None AGAudio spinningballs_5 AGVideo spinningballs_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1004.368	presentAGAudio
1004.571	presentAGMovie
1016.055		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1016.18		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1016.246		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1026.029		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1026.212		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1026.338		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1026.446		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1041.888		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1082.423		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1198.608		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1199.114		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1278.403		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1279.078		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1279.654		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1280.803		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1281.256		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1281.631		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1281.765		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1293.488		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1293.656		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1293.799		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1293.899		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1293.974		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1308.21		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1334.729		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1423.091		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1423.242		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1443.333		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1443.91		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1444.02		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1444.102		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1444.177		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1458.294		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1504.271		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1581.619		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1582.223		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1582.603		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1626.103		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1626.946		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1627.412		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1627.896		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1682.025		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1682.48		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1682.815		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1712.851		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1713.883		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1714.632		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1777.611		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1778.261		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1861.673		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1862.049		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1862.27		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1862.457		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2007.27		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2007.75		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2008.194		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2011.667		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2011.901		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2038.535		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2038.764		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2038.902		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2039.091		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2039.219		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2039.325		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2039.421		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2039.516		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2039.623		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2116.687		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2117.178		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2136.464		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2136.944		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2137.285		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2137.589		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2196.022		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2196.147		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2251.101		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2251.392		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2251.557		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2351.629		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2352.089		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2352.509		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2402.27		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2402.715		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2403.034		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2403.429		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
