pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
295.048		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
308.194		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
325.227		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
344.578		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
357.997		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
376.269		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
392.775		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
410.256		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
425.892		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
444.056		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
458.971		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
474.451		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
491.049		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
507.779		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
526.81		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
540.888		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
558.465		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
575.559		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
593.279		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
608.472		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
624.432		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
642.589		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
659.032		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
674.425		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
690.895		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
708.168		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
725.508		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
742.903		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
760.112		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
776.441		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
792.212		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
809.739		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
832.948		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
840.784		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
860.502		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
875.459		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
892.791		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
908.295		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
924.375		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
940.872		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
957.253		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
973.818		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
993.005		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1005.947	Experiment BabyInfo subjCode Prac_1400test trialOrder 3 trialType AG trialID 1 blockID None speaker None speakerPos None leftImage None rightImage None leftAudio None rightAudio None trialDuration None trialStartSilence None trialEndSilence None AG 1 AGType movie AGImage None AGAudio spinningballs_5 AGVideo spinningballs_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1006.823	presentAGAudio
1006.891	presentAGMovie
1010.275		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1029.453		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1042.782		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1057.305		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1074.29		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1093.955		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
