pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
308.543		1909.0	-162.0	1	-1	-1	0	1909.0	-162.0	4.0317	1	-1	0
324.552		1908.0	-162.0	1	-1	-1	0	1908.0	-162.0	4.0364	1	-1	0
342.257		1953.0	-206.0	1	-1	-1	0	1953.0	-206.0	4.1073	1	-1	0
359.087		1984.0	-153.0	1	-1	-1	0	1984.0	-153.0	4.0321	1	-1	0
378.52		1953.0	-151.0	1	1884.0	61.0	1	1918	-45	4.0762	1	3.7056	1
394.604		1975.0	-157.0	1	1906.0	17.0	1	1940	-70	4.0725	1	3.7763	1
412.056		1968.0	-149.0	1	1913.0	-3.0	1	1940	-76	4.0859	1	3.8262	1
428.169		1974.0	-168.0	1	1903.0	20.0	1	1938	-74	4.1188	1	3.7818	1
444.823		1967.0	-163.0	1	1911.0	-20.0	1	1939	-91	4.1176	1	3.8619	1
461.584		1966.0	-151.0	1	1919.0	-25.0	1	1942	-88	4.1129	1	3.903	1
478.231		1973.0	-153.0	1	1921.0	-43.0	1	1947	-98	4.1173	1	3.9069	1
494.902		1971.0	-160.0	1	1919.0	-32.0	1	1945	-96	4.1226	1	3.9255	1
511.535		1957.0	-145.0	1	1916.0	-37.0	1	1936	-91	4.1008	1	3.9208	1
527.877		1966.0	-153.0	1	1913.0	-24.0	1	1940	-88	4.1401	1	3.8887	1
544.806		1957.0	-148.0	1	1921.0	-46.0	1	1939	-97	4.1315	1	3.9414	1
561.972		1965.0	-152.0	1	1902.0	-35.0	1	1934	-93	4.1195	1	3.9338	1
576.348		1809.0	-112.0	1	-1	-1	0	1809.0	-112.0	4.1134	1	-1	0
601.906		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
626.646		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
626.798		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
641.575		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
661.096		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
676.883		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
693.438		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
708.589		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
723.281		1047.0	-110.0	1	-1	-1	0	1047.0	-110.0	3.8495	1	-1	0
742.849		1053.0	-358.0	1	-1	-1	0	1053.0	-358.0	4.1853	1	-1	0
760.341		1053.0	-359.0	1	-1	-1	0	1053.0	-359.0	4.2199	1	-1	0
