pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
297.278		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
314.639		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
331.481		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
350.905		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
373.277		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
391.546		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
417.851		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
418.042		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
432.307		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
448.824		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
465.593		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
480.109		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
499.414		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
523.058		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
533.877		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
547.157		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
564.77		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
580.614		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
598.795		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
613.704		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
651.262		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
661.547		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
661.745		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
679.5		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
695.306		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
716.516		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
