pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
318.007		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
318.173		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
343.537		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
343.918		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
378.807		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
380.827		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
409.838		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
409.993		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
441.31		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
441.668		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
475.066		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
475.318		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
514.588		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
514.746		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
547.837		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
548.002		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
582.41		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
582.557		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
612.649		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
612.786		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
654.321		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
654.541		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
681.148		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
681.722		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
713.471		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
714.011		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
743.844		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
744.018		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
780.03		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
780.174		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
807.463		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
