pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
306.959		723.0	974.0	1	678.0	1001.0	1	700	987	4.5669	1	4.2863	1
323.265		726.0	984.0	1	683.0	1004.0	1	704	994	4.5686	1	4.3087	1
340.088		730.0	981.0	1	688.0	1003.0	1	709	992	4.5735	1	4.3018	1
356.834		726.0	980.0	1	690.0	998.0	1	708	989	4.5773	1	4.3074	1
373.271		724.0	981.0	1	690.0	999.0	1	707	990	4.5816	1	4.3142	1
390.254		723.0	982.0	1	685.0	995.0	1	704	988	4.5715	1	4.3265	1
406.644		730.0	982.0	1	686.0	995.0	1	708	988	4.5981	1	4.3343	1
423.369		725.0	979.0	1	681.0	996.0	1	703	987	4.5919	1	4.328	1
440.416		715.0	999.0	1	679.0	1028.0	1	697	1013	4.616	1	4.342	1
457.149		629.0	1150.0	1	584.0	1166.0	1	606	1158	4.5936	1	4.3381	1
473.557		637.0	1106.0	1	601.0	1131.0	1	619	1118	4.6071	1	4.3424	1
490.282		627.0	1125.0	1	583.0	1146.0	1	605	1135	4.6013	1	4.3468	1
506.608		627.0	1124.0	1	590.0	1143.0	1	608	1133	4.6011	1	4.3314	1
523.198		628.0	1123.0	1	579.0	1150.0	1	604	1136	4.6233	1	4.3318	1
539.832		630.0	1116.0	1	574.0	1139.0	1	602	1127	4.6204	1	4.3414	1
556.667		628.0	1128.0	1	582.0	1142.0	1	605	1135	4.6068	1	4.3402	1
572.987		631.0	1118.0	1	580.0	1144.0	1	606	1131	4.6285	1	4.3492	1
589.668		637.0	1126.0	1	576.0	1138.0	1	606	1132	4.6183	1	4.3493	1
606.353		631.0	1127.0	1	581.0	1139.0	1	606	1133	4.6228	1	4.3458	1
622.929		635.0	1121.0	1	584.0	1139.0	1	610	1130	4.6336	1	4.3565	1
639.889		633.0	1119.0	1	582.0	1143.0	1	608	1131	4.6348	1	4.354	1
656.913		635.0	1124.0	1	590.0	1135.0	1	612	1129	4.6374	1	4.3716	1
673.226		637.0	1125.0	1	589.0	1136.0	1	613	1130	4.635	1	4.3655	1
689.899		641.0	1119.0	1	593.0	1135.0	1	617	1127	4.6412	1	4.3727	1
705.874		635.0	1122.0	1	592.0	1141.0	1	614	1131	4.6409	1	4.3595	1
722.724		636.0	1120.0	1	597.0	1138.0	1	616	1129	4.6593	1	4.3607	1
739.331		723.0	1125.0	1	710.0	1161.0	1	716	1143	4.6688	1	4.3682	1
756.288		846.0	1151.0	1	816.0	1167.0	1	831	1159	4.6593	1	4.3649	1
772.671		886.0	1155.0	1	854.0	1186.0	1	870	1170	4.6663	1	4.3553	1
789.414		899.0	1158.0	1	861.0	1176.0	1	880	1167	4.6465	1	4.3534	1
806.12		889.0	1163.0	1	859.0	1184.0	1	874	1173	4.658	1	4.3729	1
822.517		899.0	1157.0	1	854.0	1179.0	1	876	1168	4.6537	1	4.3595	1
839.503		887.0	1158.0	1	857.0	1185.0	1	872	1171	4.6606	1	4.3736	1
856.251		894.0	1165.0	1	851.0	1186.0	1	872	1175	4.6555	1	4.36	1
873.125		905.0	1162.0	1	857.0	1186.0	1	881	1174	4.67	1	4.368	1
890.123		900.0	1163.0	1	857.0	1188.0	1	878	1175	4.6675	1	4.3674	1
906.344		902.0	1160.0	1	852.0	1182.0	1	877	1171	4.6661	1	4.3721	1
923.313		890.0	1162.0	1	851.0	1191.0	1	870	1176	4.6703	1	4.3608	1
939.733		900.0	1168.0	1	858.0	1191.0	1	879	1179	4.6707	1	4.364	1
956.43		893.0	1170.0	1	850.0	1184.0	1	872	1177	4.671	1	4.3623	1
972.99		898.0	1163.0	1	860.0	1195.0	1	879	1179	4.6819	1	4.3696	1
