pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
310.869		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
327.931		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
344.673		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
361.27		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
378.25		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
400.602		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
414.205		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
429.777		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
444.095		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
459.51		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
476.215		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
493.513		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
510.404		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
527.036		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
543.815		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
560.78		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
577.574		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
594.728		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
613.444		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
631.66		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
644.67		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
658.841		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
678.026		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
692.726		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
709.856		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
727.127		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
747.449		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
760.717		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
777.423		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
794.263		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
814.312		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
827.491		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
844.187		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
864.753		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
882.178		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
891.074		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
915.209		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
930.853		-1	-1	0	841.0	219.0	1	841.0	219.0	-1	0	4.0415	1
947.798		-1	-1	0	866.0	238.0	1	866.0	238.0	-1	0	4.0755	1
961.983		-1	-1	0	835.0	181.0	1	835.0	181.0	-1	0	4.2589	1
980.755		-1	-1	0	869.0	232.0	1	869.0	232.0	-1	0	4.1296	1
1000.1		-1	-1	0	820.0	238.0	1	820.0	238.0	-1	0	4.1308	1
1010.792		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1013.086	Experiment BabyInfo subjCode Yiran_PRAC trialOrder 2 trialType AG trialID 1 blockID None speaker None speakerPos None leftImage None rightImage None leftAudio None rightAudio None trialDuration None trialStartSilence None trialEndSilence None AG 1 AGType movie AGImage None AGAudio spinningballs_5 AGVideo spinningballs_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1013.378	presentAGAudio
1013.438	presentAGMovie
1028.761		-1	-1	0	831.0	291.0	1	831.0	291.0	-1	0	4.0546	1
1046.041		-1	-1	0	823.0	289.0	1	823.0	289.0	-1	0	4.0769	1
1061.974		-1	-1	0	818.0	274.0	1	818.0	274.0	-1	0	4.1182	1
1078.633		-1	-1	0	818.0	235.0	1	818.0	235.0	-1	0	4.1652	1
1095.645		-1	-1	0	814.0	234.0	1	814.0	234.0	-1	0	4.2024	1
1111.971		-1	-1	0	828.0	212.0	1	828.0	212.0	-1	0	4.1751	1
1129.089		-1	-1	0	814.0	242.0	1	814.0	242.0	-1	0	4.1996	1
1150.77		-1	-1	0	827.0	247.0	1	827.0	247.0	-1	0	4.1964	1
1162.572		-1	-1	0	824.0	258.0	1	824.0	258.0	-1	0	4.1673	1
1179.07		-1	-1	0	820.0	251.0	1	820.0	251.0	-1	0	4.1713	1
1195.936		-1	-1	0	827.0	245.0	1	827.0	245.0	-1	0	4.2212	1
1211.985		-1	-1	0	817.0	304.0	1	817.0	304.0	-1	0	4.126	1
1229.26		-1	-1	0	821.0	311.0	1	821.0	311.0	-1	0	4.1262	1
1245.29		-1	-1	0	869.0	202.0	1	869.0	202.0	-1	0	4.1835	1
1262.884		-1	-1	0	885.0	367.0	1	885.0	367.0	-1	0	4.1477	1
1278.667		-1	-1	0	894.0	429.0	1	894.0	429.0	-1	0	4.1699	1
1299.808		-1	-1	0	923.0	438.0	1	923.0	438.0	-1	0	4.1564	1
1311.283		-1	-1	0	872.0	485.0	1	872.0	485.0	-1	0	4.098	1
1328.203		-1	-1	0	872.0	498.0	1	872.0	498.0	-1	0	4.0615	1
1344.875		-1	-1	0	873.0	518.0	1	873.0	518.0	-1	0	4.0103	1
1361.433		-1	-1	0	886.0	478.0	1	886.0	478.0	-1	0	4.0808	1
1378.605		-1	-1	0	886.0	459.0	1	886.0	459.0	-1	0	4.1567	1
1395.328		-1	-1	0	892.0	623.0	1	892.0	623.0	-1	0	3.9944	1
1411.969		-1	-1	0	907.0	606.0	1	907.0	606.0	-1	0	4.0163	1
1428.884		-1	-1	0	895.0	665.0	1	895.0	665.0	-1	0	3.9621	1
1445.366		-1	-1	0	909.0	606.0	1	909.0	606.0	-1	0	3.9977	1
1462.301		-1	-1	0	913.0	599.0	1	913.0	599.0	-1	0	3.9561	1
1478.532		-1	-1	0	907.0	639.0	1	907.0	639.0	-1	0	3.8515	1
1495.717		-1	-1	0	926.0	613.0	1	926.0	613.0	-1	0	3.8529	1
1511.959		-1	-1	0	915.0	645.0	1	915.0	645.0	-1	0	3.7693	1
1529.01		-1	-1	0	907.0	648.0	1	907.0	648.0	-1	0	3.7894	1
1544.456		-1	-1	0	897.0	655.0	1	897.0	655.0	-1	0	3.7085	1
1562.126		-1	-1	0	894.0	697.0	1	894.0	697.0	-1	0	3.6345	1
1578.385		-1	-1	0	896.0	618.0	1	896.0	618.0	-1	0	3.7606	1
1594.734		-1	-1	0	899.0	634.0	1	899.0	634.0	-1	0	3.7409	1
1614.008		-1	-1	0	924.0	639.0	1	924.0	639.0	-1	0	3.6918	1
1631.069		-1	-1	0	928.0	626.0	1	928.0	626.0	-1	0	3.7338	1
1647.394		-1	-1	0	932.0	626.0	1	932.0	626.0	-1	0	3.7079	1
1663.987		-1	-1	0	925.0	627.0	1	925.0	627.0	-1	0	3.7043	1
1678.092		-1	-1	0	912.0	558.0	1	912.0	558.0	-1	0	3.8476	1
1697.218		-1	-1	0	930.0	644.0	1	930.0	644.0	-1	0	3.6738	1
1711.192		-1	-1	0	900.0	546.0	1	900.0	546.0	-1	0	3.9181	1
1729.736		-1	-1	0	883.0	622.0	1	883.0	622.0	-1	0	3.691	1
1746.7		-1	-1	0	900.0	620.0	1	900.0	620.0	-1	0	3.7498	1
1761.213		-1	-1	0	906.0	631.0	1	906.0	631.0	-1	0	3.7652	1
1777.924		-1	-1	0	889.0	670.0	1	889.0	670.0	-1	0	3.677	1
1794.68		-1	-1	0	876.0	668.0	1	876.0	668.0	-1	0	3.6683	1
1811.225		-1	-1	0	904.0	648.0	1	904.0	648.0	-1	0	3.71	1
1830.226		-1	-1	0	918.0	923.0	1	918.0	923.0	-1	0	3.0786	1
1842.166		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1858.22		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1875.006		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1891.941		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1908.9		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1925.966		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1942.596		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1959.557		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1975.891		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1993.139		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2023.323		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2045.414		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2045.937		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2061.814		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2079.57		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2096.292		-1	-1	0	857.0	540.0	1	857.0	540.0	-1	0	3.716	1
2113.726		-1	-1	0	891.0	546.0	1	891.0	546.0	-1	0	3.7186	1
2127.905		-1	-1	0	864.0	532.0	1	864.0	532.0	-1	0	3.7211	1
2159.332		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2180.588		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2180.881		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2196.876		-1	-1	0	864.0	539.0	1	864.0	539.0	-1	0	3.7892	1
2213.124		-1	-1	0	874.0	553.0	1	874.0	553.0	-1	0	3.77	1
2230.311		-1	-1	0	864.0	533.0	1	864.0	533.0	-1	0	3.7765	1
2246.802		-1	-1	0	869.0	535.0	1	869.0	535.0	-1	0	3.7654	1
2263.657		-1	-1	0	877.0	541.0	1	877.0	541.0	-1	0	3.7963	1
2280.366		-1	-1	0	876.0	551.0	1	876.0	551.0	-1	0	3.8114	1
2297.335		-1	-1	0	868.0	551.0	1	868.0	551.0	-1	0	3.8698	1
2313.479		-1	-1	0	873.0	554.0	1	873.0	554.0	-1	0	3.8607	1
2330.562		-1	-1	0	857.0	565.0	1	857.0	565.0	-1	0	3.8461	1
2347.122		-1	-1	0	881.0	555.0	1	881.0	555.0	-1	0	3.8491	1
2360.65		-1	-1	0	740.0	686.0	1	740.0	686.0	-1	0	3.9292	1
2380.525		-1	-1	0	670.0	853.0	1	670.0	853.0	-1	0	3.9058	1
2397.36		-1	-1	0	660.0	982.0	1	660.0	982.0	-1	0	3.8725	1
2413.767		-1	-1	0	679.0	1014.0	1	679.0	1014.0	-1	0	3.9033	1
2430.655		-1	-1	0	665.0	988.0	1	665.0	988.0	-1	0	3.8986	1
2446.237		-1	-1	0	601.0	989.0	1	601.0	989.0	-1	0	3.9045	1
2460.914		-1	-1	0	613.0	984.0	1	613.0	984.0	-1	0	3.8484	1
2477.53		-1	-1	0	637.0	994.0	1	637.0	994.0	-1	0	3.8288	1
2494.726		-1	-1	0	600.0	999.0	1	600.0	999.0	-1	0	3.9473	1
2513.202		-1	-1	0	629.0	988.0	1	629.0	988.0	-1	0	4.1965	1
2529.995		-1	-1	0	608.0	983.0	1	608.0	983.0	-1	0	3.9674	1
2544.085		-1	-1	0	623.0	1034.0	1	623.0	1034.0	-1	0	3.8537	1
2563.317		-1	-1	0	579.0	996.0	1	579.0	996.0	-1	0	3.9282	1
2579.837		-1	-1	0	559.0	1020.0	1	559.0	1020.0	-1	0	3.9627	1
2596.946		-1	-1	0	566.0	994.0	1	566.0	994.0	-1	0	3.9792	1
2613.953		-1	-1	0	578.0	1010.0	1	578.0	1010.0	-1	0	3.9743	1
2632.862		-1	-1	0	604.0	1007.0	1	604.0	1007.0	-1	0	3.9533	1
2646.724		-1	-1	0	641.0	978.0	1	641.0	978.0	-1	0	4.2019	1
2660.87		-1	-1	0	600.0	984.0	1	600.0	984.0	-1	0	3.932	1
