pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
296.375		441.0	853.0	1	461.0	857.0	1	451	855	4.7487	1	4.9035	1
312.87		445.0	850.0	1	462.0	855.0	1	454	852	4.7686	1	4.9192	1
329.56		446.0	849.0	1	464.0	855.0	1	455	852	4.7695	1	4.9191	1
346.49		446.0	854.0	1	463.0	853.0	1	454	853	4.7707	1	4.9289	1
362.605		443.0	856.0	1	461.0	848.0	1	452	852	4.781	1	4.9408	1
379.411		448.0	854.0	1	463.0	847.0	1	456	850	4.7912	1	4.9445	1
395.999		444.0	855.0	1	460.0	843.0	1	452	849	4.7954	1	4.9598	1
412.509		442.0	856.0	1	463.0	847.0	1	452	851	4.7908	1	4.9692	1
429.149		442.0	852.0	1	462.0	851.0	1	452	851	4.8055	1	4.9698	1
446.099		444.0	858.0	1	462.0	851.0	1	453	854	4.8159	1	4.978	1
462.544		446.0	856.0	1	464.0	860.0	1	455	858	4.8222	1	4.9797	1
479.447		445.0	851.0	1	466.0	852.0	1	456	851	4.8177	1	5.004	1
496.438		443.0	839.0	1	462.0	843.0	1	452	841	4.8501	1	5.0102	1
512.76		443.0	842.0	1	462.0	846.0	1	452	844	4.8622	1	5.0132	1
529.397		443.0	845.0	1	463.0	851.0	1	453	848	4.8664	1	5.0125	1
546.062		442.0	845.0	1	465.0	849.0	1	454	847	4.8802	1	5.0309	1
562.595		448.0	846.0	1	468.0	848.0	1	458	847	4.8784	1	5.0299	1
579.92		446.0	843.0	1	461.0	849.0	1	454	846	4.8975	1	5.0473	1
595.893		447.0	848.0	1	468.0	850.0	1	458	849	4.8948	1	5.0555	1
612.66		449.0	849.0	1	468.0	849.0	1	458	849	4.8947	1	5.0583	1
629.704		448.0	851.0	1	469.0	845.0	1	458	848	4.9027	1	5.0733	1
646.779		447.0	845.0	1	468.0	846.0	1	458	845	4.9169	1	5.0721	1
663.093		446.0	849.0	1	468.0	847.0	1	457	848	4.9167	1	5.0808	1
680.163		446.0	849.0	1	466.0	848.0	1	456	848	4.9299	1	5.0936	1
696.488		445.0	847.0	1	466.0	850.0	1	456	848	4.9387	1	5.0924	1
713.002		445.0	853.0	1	465.0	850.0	1	455	851	4.9278	1	5.0897	1
729.6		452.0	860.0	1	464.0	848.0	1	458	854	4.9272	1	5.0996	1
746.483		461.0	922.0	1	461.0	876.0	1	461	899	4.7605	1	5.0322	1
762.335		439.0	1032.0	1	404.0	950.0	1	422	991	4.4549	1	4.8636	1
777.292		-1	-1	0	388.0	999.0	1	388.0	999.0	-1	0	4.6059	1
794.04		-1	-1	0	321.0	1102.0	1	321.0	1102.0	-1	0	4.3369	1
807.155		-1	-1	0	173.0	1074.0	1	173.0	1074.0	-1	0	4.5639	1
825.748		-1	-1	0	53.0	997.0	1	53.0	997.0	-1	0	4.759	1
844.856		-1	-1	0	2.0	915.0	1	2.0	915.0	-1	0	5.0484	1
858.353		-1	-1	0	25.0	897.0	1	25.0	897.0	-1	0	5.1091	1
878.318		-3.0	1107.0	1	12.0	896.0	1	4	1001	4.3047	1	5.1149	1
