pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
315.866		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
316.017		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
347.564		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
347.727		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
390.26		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
390.45		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
431.679		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
431.845		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
431.964		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
474.841		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
475.031		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
514.991		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
515.149		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
515.266		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
549.652		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
549.826		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
570.412		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
570.57		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
603.322		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
603.486		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
638.867		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
639.061		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
673.295		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
673.558		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
704.997		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
705.192		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
739.976		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
740.23		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
769.455		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
769.634		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
802.676		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
802.871		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
836.485		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
836.744		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
871.925		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
872.113		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
922.152		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
922.361		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
922.484		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
951.884		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
952.165		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
985.054		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
985.247		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
