pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
295.774		1152.0	1192.0	1	1049.0	1178.0	1	1100	1185	4.51	1	4.4798	1
312.365		1155.0	1192.0	1	1050.0	1179.0	1	1102	1185	4.5369	1	4.5001	1
329.267		1150.0	1191.0	1	1049.0	1178.0	1	1100	1184	4.541	1	4.5052	1
345.81		1155.0	1193.0	1	1048.0	1175.0	1	1102	1184	4.5529	1	4.5193	1
362.58		1160.0	1163.0	1	1064.0	1158.0	1	1112	1160	4.5691	1	4.5443	1
379.694		1209.0	921.0	1	1141.0	906.0	1	1175	913	4.6329	1	4.5946	1
396.543		1245.0	750.0	1	1184.0	745.0	1	1214	747	4.6524	1	4.6267	1
415.784		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
449.827		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
449.965		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
483.222		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
483.386		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
516.954		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
517.144		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
559.072		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
559.776		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
580.945		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
581.099		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
598.505		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
632.467		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
632.611		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
666.651		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
666.777		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
700.63		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
700.753		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
733.109		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
733.268		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
765.15		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
765.316		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
799.291		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
799.44		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
833.18		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
833.339		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
866.826		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
866.987		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
896.178		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
896.761		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
921.736		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
946.974		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
947.129		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
962.516		1742.0	8.0	1	1754.0	-7.0	1	1748	0	4.9355	1	4.9136	1
979.641		1752.0	9.0	1	1745.0	5.0	1	1748	7	4.9491	1	4.9214	1
996.176		1739.0	16.0	1	1745.0	7.0	1	1742	11	4.9518	1	4.9232	1
1012.521	Experiment BabyInfo subjCode BI117r trialOrder 4 trialType AG trialID 1 blockID None speaker None speakerPos None leftImage None rightImage None leftAudio None rightAudio None trialDuration None trialStartSilence None trialEndSilence None AG 1 AGType movie AGImage None AGAudio spinningballs_5 AGVideo spinningballs_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1012.97		1746.0	-3.0	1	1750.0	-8.0	1	1748	-5	4.9661	1	4.9488	1
1013.08	presentAGAudio
1013.172	presentAGMovie
1029.815		1743.0	11.0	1	1747.0	-2.0	1	1745	4	4.9653	1	4.9404	1
1047.174		1741.0	-4.0	1	1744.0	2.0	1	1742	-1	4.9672	1	4.9523	1
1064.134		1734.0	11.0	1	1742.0	5.0	1	1738	8	4.9683	1	4.9542	1
1079.946		1832.0	-126.0	1	1877.0	-97.0	1	1854	-111	5.076	1	5.0811	1
1097.173		1957.0	-232.0	1	-1	-1	0	1957.0	-232.0	5.003	1	-1	0
1113.334		1965.0	-240.0	1	1938.0	-172.0	1	1952	-206	5.0731	1	5.0167	1
1126.795		1973.0	-266.0	1	1989.0	-186.0	1	1981	-226	5.0749	1	5.0238	1
1162.623		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1162.829		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1187.662		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1212.946		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1213.309		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1229.044		1803.0	-138.0	1	1901.0	-170.0	1	1852	-154	5.1104	1	5.1976	1
1245.663		1808.0	-129.0	1	1883.0	-136.0	1	1846	-132	5.0965	1	5.1239	1
1262.632		1832.0	-132.0	1	1857.0	-158.0	1	1844	-145	5.114	1	5.0872	1
1279.151		1837.0	-139.0	1	1884.0	-128.0	1	1860	-133	5.0803	1	5.1231	1
1294.227		1829.0	-108.0	1	1883.0	-148.0	1	1856	-128	5.0701	1	5.0968	1
1311.474		1750.0	-86.0	1	1789.0	-66.0	1	1770	-76	5.0314	1	5.0673	1
1329.028		1395.0	382.0	1	1354.0	359.0	1	1374	370	5.1782	1	5.0924	1
1357.108		1133.0	672.0	1	1101.0	612.0	1	1117	642	4.9972	1	5.0432	1
1383.369		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1383.529		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1414.635		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1414.779		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1447.898		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1448.051		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1480.47		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1480.686		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1513.58		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1513.753		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1555.42		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1555.634		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1580.332		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1580.5		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1613.379		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1613.71		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1647.574		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1647.885		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1679.678		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1679.827		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1716.181		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1716.312		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1746.83		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1747.12		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1765.097		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1796.223		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1796.373		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1812.175		999.0	519.0	1	918.0	507.0	1	958	513	4.6423	1	4.6442	1
1830.593		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1846.572		996.0	518.0	1	918.0	504.0	1	957	511	4.6605	1	4.6645	1
1862.963		1004.0	516.0	1	914.0	507.0	1	959	511	4.6632	1	4.6541	1
1879.082		997.0	508.0	1	920.0	505.0	1	958	506	4.6767	1	4.6651	1
1895.504		997.0	513.0	1	920.0	505.0	1	958	509	4.6651	1	4.6648	1
1913.238		1000.0	513.0	1	923.0	495.0	1	962	504	4.6701	1	4.6878	1
1933.686		994.0	516.0	1	918.0	501.0	1	956	508	4.6791	1	4.693	1
1946.348		1000.0	507.0	1	920.0	501.0	1	960	504	4.7026	1	4.6852	1
1962.196		999.0	510.0	1	916.0	500.0	1	958	505	4.6993	1	4.7042	1
1979.07		998.0	513.0	1	919.0	503.0	1	958	508	4.7068	1	4.713	1
1996.183		1000.0	511.0	1	919.0	502.0	1	960	506	4.7135	1	4.7358	1
2022.175		996.0	512.0	1	922.0	496.0	1	959	504	4.7236	1	4.7481	1
2031.889		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2068.121		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2068.252		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2097.945		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2098.226		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2123.608		990.0	504.0	1	916.0	500.0	1	953	502	4.7801	1	4.7933	1
2136.871		996.0	508.0	1	919.0	494.0	1	958	501	4.7861	1	4.8111	1
2145.858		993.0	507.0	1	923.0	498.0	1	958	502	4.7872	1	4.8306	1
2162.662		955.0	549.0	1	877.0	530.0	1	916	539	4.7963	1	4.8375	1
2179.459		947.0	568.0	1	869.0	558.0	1	908	563	4.8101	1	4.8515	1
2220.349		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2233.604		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2233.734		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2247.834		945.0	567.0	1	865.0	557.0	1	905	562	4.84	1	4.8923	1
2263.829		946.0	574.0	1	870.0	561.0	1	908	567	4.8412	1	4.8897	1
2279.462		946.0	570.0	1	867.0	561.0	1	906	565	4.8538	1	4.8863	1
2297.328		942.0	570.0	1	871.0	559.0	1	906	564	4.8671	1	4.914	1
2325.222		943.0	574.0	1	872.0	556.0	1	908	565	4.8688	1	4.9327	1
2329.826		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2346.189		945.0	569.0	1	875.0	557.0	1	910	563	4.8801	1	4.9475	1
2366.457		944.0	570.0	1	874.0	555.0	1	909	562	4.8962	1	4.9517	1
2381.314		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2397.018		945.0	570.0	1	870.0	561.0	1	908	565	4.9094	1	4.9616	1
2414.052		949.0	573.0	1	880.0	556.0	1	914	564	4.9101	1	4.9836	1
2435.397		943.0	573.0	1	879.0	556.0	1	911	564	4.9216	1	4.9855	1
2447.259		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2463.744		948.0	568.0	1	872.0	558.0	1	910	563	4.9336	1	5.003	1
2479.515		945.0	570.0	1	871.0	555.0	1	908	562	4.9454	1	5.0203	1
2497.675		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2514.969		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2550.392		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2550.668		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2572.926		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2596.686		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2596.947		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2613.414		947.0	573.0	1	876.0	549.0	1	912	561	5.0052	1	5.0721	1
2630.059		948.0	572.0	1	881.0	548.0	1	914	560	5.0027	1	5.0902	1
2663.045		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2675.243		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2679.639		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2696.619		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2721.622		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2747.106		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2747.259		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2780.619		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2780.788		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2796.206		942.0	564.0	1	886.0	555.0	1	914	559	5.0648	1	5.1246	1
2813.501		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2834.629		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2852.434		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2864.529		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2881.069		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2913.522		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2913.695		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2946.931		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2947.151		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2980.799		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
2980.951		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
3013.468		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
