pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
303.19		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
303.366		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
329.811		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
350.12		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
350.295		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
374.238		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
384.291		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
411.247		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
446.757		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
446.974		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
470.867		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
471.032		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
489.841		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
509.506		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
524.573		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
546.472		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
580.657		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
580.811		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
605.225		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
605.448		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
628.722		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
661.189		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
661.351		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
694.697		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
694.888		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
735.364		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
735.588		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
754.59		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
754.766		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
762.169		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
780.354		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
797.613		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
839.726		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
874.62		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
874.841		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
902.51		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
902.687		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
930.387		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
930.569		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
959.505		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
959.67		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
995.123		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
995.293		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1009.987	Experiment BabyInfo subjCode BI123 trialOrder 4 trialType AG trialID 1 blockID None speaker None speakerPos None leftImage None rightImage None leftAudio None rightAudio None trialDuration None trialStartSilence None trialEndSilence None AG 1 AGType movie AGImage None AGAudio spinningballs_5 AGVideo spinningballs_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1010.27	presentAGAudio
1010.332	presentAGMovie
1026.872		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1027.365		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1059.535		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1060.039		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1097.414		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1097.617		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1126.686		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1127.18		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1159.684		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1159.851		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1192.989		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1193.178		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1226.107		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1226.544		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1259.521		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1259.731		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1293.533		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1293.966		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1331.068		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1331.356		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1368.5		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1368.702		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1392.901		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
