pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
319.382		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
319.553		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
351.711		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
351.894		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
387.34		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
387.585		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
419.18		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
419.325		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
451.741		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
451.907		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
485.401		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
485.643		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
521.465		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
522.21		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
553.567		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
553.709		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
589.034		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
589.182		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
621.916		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
622.069		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
654.588		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
654.706		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
686.395		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
686.543		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
717.219		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
717.416		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
