pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
290.946		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
305.425		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
322.953		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
339.226		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
358.274		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
372.262		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
389.8		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
405.692		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
423.321		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
440.848		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
456.639		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
472.286		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
490.393		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
505.739		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
523.16		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
538.943		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
556.588		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
574.97		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
590.798		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
605.368		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
622.678		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
639.459		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
657.313		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
671.842		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
689.307		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
705.898		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
723.701		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
740.586		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
756.412		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
773.304		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
790.433		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
808.149		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
826.236		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
839.176		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
856.594		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
873.85		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
890.568		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
913.211		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
922.265		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
938.741		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
957.567		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
971.938		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
989.183		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1006.521		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1006.949	Experiment BabyInfo subjCode BI138w trialOrder 1 trialType AG trialID 1 blockID None speaker None speakerPos None leftImage None rightImage None leftAudio None rightAudio None trialDuration None trialStartSilence None trialEndSilence None AG 1 AGType movie AGImage None AGAudio spinningballs_5 AGVideo spinningballs_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1008.46	presentAGAudio
1008.878	presentAGMovie
1023.626		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1043.891		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1057.269		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1071.548		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1091.233		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1104.922		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1123.545		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1140.242		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1156.452		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1173.836		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1191.044		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1206.976		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1223.805		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1240.077		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1257.571		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1271.444		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1289.992		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1306.506		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1324.14		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1341.219		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1356.242		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1372.969		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1389.961		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1404.576		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1421.881		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1438.241		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1457.145		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1473.532		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1490.714		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1504.75		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1525.169		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1539.508		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1559.048		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1579.972		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1589.194		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1606.115		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1628.204		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1640.835		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1656.425		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1671.478		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
