pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
314.184		132.0	1313.0	1	539.0	1203.0	1	336	1258	3.8877	1	3.9111	1
330.135		113.0	1293.0	1	548.0	1213.0	1	330	1253	3.8589	1	3.9122	1
346.585		150.0	1280.0	1	557.0	1212.0	1	354	1246	3.9042	1	3.9076	1
363.143		125.0	1293.0	1	562.0	1219.0	1	344	1256	3.9169	1	3.9769	1
379.442		147.0	1302.0	1	567.0	1220.0	1	357	1261	3.938	1	3.9545	1
395.427		187.0	1274.0	1	631.0	1224.0	1	409	1249	3.7143	1	3.8707	1
409.677		158.0	1276.0	1	635.0	1229.0	1	396	1252	3.7265	1	3.8937	1
426.701		139.0	1279.0	1	636.0	1230.0	1	388	1254	3.7256	1	3.9054	1
443.524		142.0	1266.0	1	636.0	1226.0	1	389	1246	3.7202	1	3.9083	1
462.5		173.0	1263.0	1	639.0	1226.0	1	406	1244	3.7361	1	3.9233	1
479.736		173.0	1272.0	1	635.0	1218.0	1	404	1245	3.7351	1	3.9113	1
496.023		172.0	1276.0	1	642.0	1229.0	1	407	1252	3.7348	1	3.9206	1
512.23		181.0	1274.0	1	636.0	1229.0	1	408	1251	3.7444	1	3.9343	1
529.006		186.0	1274.0	1	630.0	1230.0	1	408	1252	3.7601	1	3.9348	1
545.643		183.0	1276.0	1	639.0	1229.0	1	411	1252	3.7619	1	3.9275	1
566.646		174.0	1279.0	1	638.0	1228.0	1	406	1253	3.7686	1	3.9522	1
578.632		179.0	1280.0	1	638.0	1226.0	1	408	1253	3.7716	1	3.9585	1
595.607		177.0	1288.0	1	636.0	1231.0	1	406	1259	3.7715	1	3.9539	1
612.432		178.0	1281.0	1	635.0	1229.0	1	406	1255	3.7767	1	3.9766	1
628.941		167.0	1285.0	1	637.0	1230.0	1	402	1257	3.7863	1	3.9771	1
645.751		364.0	1292.0	1	787.0	551.0	1	576	921	3.763	1	4.1622	1
663.071		553.0	1279.0	1	911.0	1238.0	1	732	1258	3.7889	1	3.9566	1
679.123		550.0	1292.0	1	917.0	1238.0	1	734	1265	3.7873	1	3.9628	1
695.637		575.0	1292.0	1	935.0	1244.0	1	755	1268	3.7795	1	3.9894	1
712.647		579.0	1286.0	1	935.0	1238.0	1	757	1262	3.7944	1	3.9809	1
729.001		568.0	1298.0	1	928.0	1239.0	1	748	1268	3.7978	1	3.9798	1
745.465		580.0	1301.0	1	928.0	1239.0	1	754	1270	3.804	1	3.9899	1
763.253		568.0	1299.0	1	932.0	1241.0	1	750	1270	3.8259	1	3.9719	1
779.857		563.0	1305.0	1	931.0	1245.0	1	747	1275	3.8349	1	3.9984	1
795.795		568.0	1309.0	1	932.0	1241.0	1	750	1275	3.8429	1	4.0071	1
812.156		577.0	1309.0	1	928.0	1239.0	1	752	1274	3.8321	1	3.9796	1
829.205		565.0	1316.0	1	932.0	1239.0	1	748	1277	3.8504	1	4.0287	1
845.532		563.0	1316.0	1	927.0	1238.0	1	745	1277	3.8764	1	4.0314	1
862.295		564.0	1318.0	1	928.0	1246.0	1	746	1282	3.8571	1	4.0378	1
876.387		566.0	1320.0	1	933.0	1252.0	1	750	1286	3.8677	1	4.0272	1
896.458		562.0	1315.0	1	919.0	1240.0	1	740	1277	3.8616	1	4.0408	1
912.522		569.0	1319.0	1	930.0	1245.0	1	750	1282	3.8697	1	4.0475	1
926.938		567.0	1321.0	1	937.0	1249.0	1	752	1285	3.8738	1	4.0531	1
