pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
329.128		1354.0	-213.0	1	1396.0	-37.0	1	1375	-125	4.6639	1	4.4249	1
338.409		-1	-1	0	1203.0	-104.0	1	1203.0	-104.0	-1	0	4.2136	1
349.485		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
367.061		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
383.66		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
401.614		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
418.056		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
435.152		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
452.331		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
469.33		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
486.682		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
503.366		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
522.353		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
536.992		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
551.928		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
570.256		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
586.186		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
604.226		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
618.647		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
637.793		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
656.446		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
671.352		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
687.762		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
704.772		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
721.713		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
738.527		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
754.718		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
771.905		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
