pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
323.586		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
323.893		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
335.779		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
354.205		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
368.663		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
385.616		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
402.801		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
420.116		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
435.988		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
453.057		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
469.229		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
486.573		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
504.28		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
521.157		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
536.77		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
554.238		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
569.733		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
587.026		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
604.098		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
631.502		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
643.136		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
657.119		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
671.818		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
689.348		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
714.203		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
724.638		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
733.775		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
757.416		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
774.639		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
791.477		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
807.892		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
826.714		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
843.318		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
860.096		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
877.169		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
893.733		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
910.489		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
925.825		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
938.854		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
956.112		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
972.385		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1000.906		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1009.491	Experiment BabyInfo subjCode BI188r2 trialOrder 3 trialType AG trialID 1 blockID None speaker None speakerPos None leftImage None rightImage None leftAudio None rightAudio None trialDuration None trialStartSilence None trialEndSilence None AG 1 AGType movie AGImage None AGAudio spinningballs_5 AGVideo spinningballs_5 AGTime 5000.0 AGgetInput None AGWidth None AGHeight None
1009.981	presentAGAudio
1010.041	presentAGMovie
1022.562		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1022.768		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1033.945		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1068.377		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1101.955		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1102.153		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1135.497		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1135.665		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
1168.253		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
