pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
292.457		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
331.822		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
332.503		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
361.727		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
378.896		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
396.083		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
411.997		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
430.713		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
447.033		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
447.714		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
463.589		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
481.306		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
497.391		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
515.488		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
529.88		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
546.065		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
562.614		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
579.992		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
610.869		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
629.702		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
629.825		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
646.356		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
672.571		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
681.906		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
