startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,locationLatitude,locationLongitude,distributionChannel,userLanguage,QID20_TEXT,QID21_TEXT,1_QID22,1_QID3_1,2_QID22,2_QID3_1,3_QID22,3_QID3_1,4_QID22,4_QID3_1,5_QID22,5_QID3_1,6_QID22,6_QID3_1,7_QID22,7_QID3_1,8_QID22,8_QID3_1,subject_id,study_id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,LocationLatitude - Location Latitude,LocationLongitude - Location Longitude,DistributionChannel - Distribution Channel,UserLanguage - User Language,Q20 - Enter subject ID,Q21 - Enter study name,1_undsays - apple - [Field-1],1_conf_1 - How sure are you about your response for [Field-1]? - apple - How sure are you about your response for ${lm://Field/1}?,2_undsays - ball - [Field-1],2_conf_1 - How sure are you about your response for [Field-1]? - ball - How sure are you about your response for ${lm://Field/1}?,3_undsays - book - [Field-1],3_conf_1 - How sure are you about your response for [Field-1]? - book - How sure are you about your response for ${lm://Field/1}?,4_undsays - cat - [Field-1],4_conf_1 - How sure are you about your response for [Field-1]? - cat - How sure are you about your response for ${lm://Field/1}?,5_undsays - dog - [Field-1],5_conf_1 - How sure are you about your response for [Field-1]? - dog - How sure are you about your response for ${lm://Field/1}?,6_undsays - duck - [Field-1],6_conf_1 - How sure are you about your response for [Field-1]? - duck - How sure are you about your response for ${lm://Field/1}?,7_undsays - hat - [Field-1],7_conf_1 - How sure are you about your response for [Field-1]? - hat - How sure are you about your response for ${lm://Field/1}?,8_undsays - train - [Field-1],8_conf_1 - How sure are you about your response for [Field-1]? - train - How sure are you about your response for ${lm://Field/1}?,subject_id,study_id
2023-09-15 09:35:59,2023-09-15 09:37:27,IP Address,72.33.2.49,100,88,True,2023-09-15 09:37:28,R_3m478eNtRTrkyLf,,,,,43.0782,-89.4075,anonymous,EN,BI100,Babyinfo,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,65,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,
2023-09-19 13:36:38,2023-09-19 13:54:45,IP Address,72.33.2.61,100,1087,True,2023-09-19 13:54:46,R_uyP1Obxhys5kVuF,,,,,43.0782,-89.4075,anonymous,EN,BI101,BabyInfo,understands AND says,88,understands AND says,100,understands AND says,63,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,78,understands AND says,84,,
2023-09-20 08:35:03,2023-09-20 08:37:15,IP Address,72.33.2.61,100,131,True,2023-09-20 08:37:16,R_qUyG578tbiT0ek1,,,,,43.0782,-89.4075,anonymous,EN,BI103,BabyInfo,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,
2023-09-22 09:37:53,2023-09-22 09:39:57,IP Address,72.33.2.131,100,124,True,2023-09-22 09:39:58,R_BSpPcf2bibrvKPn,,,,,43.0782,-89.4075,anonymous,EN,BI102,BI,understands AND says,100,understands AND says,100,understands AND says,88,understands AND says,72,understands AND says,100,understands AND says,100,understands AND says,72,understands AND says,72,,
2023-09-22 10:33:19,2023-09-22 14:29:46,IP Address,72.33.2.131,100,14186,True,2023-09-22 14:29:47,R_3fAUC5qH7IQn2Sh,,,,,43.0782,-89.4075,anonymous,EN,Prac_2,BabyInfo,does NOT understand or say,,does NOT understand or say,,does NOT understand or say,,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,
2023-09-26 08:03:10,2023-09-26 08:39:52,IP Address,72.33.2.195,100,2202,True,2023-09-26 08:39:53,R_1Ea3CepyC27sqdv,,,,,43.0782,-89.4075,anonymous,EN,Prac_1400,BabyInfo Prac,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,understands AND says,100,,
2023-09-28 08:57:06,2023-09-28 09:42:16,IP Address,72.33.2.50,100,2709,True,2023-09-28 09:42:17,R_sYBUQdzHp6apHB7,,,,,43.0782,-89.4075,anonymous,EN,Prac_1403,BabyInfo Prac,understands AND says,100,understands AND says,100,understands,90,does NOT understand or say,100,understands,100,understands AND says,52,understands AND says,100,understands,81,,
2023-09-28 09:42:27,2023-09-28 09:43:36,IP Address,72.33.2.50,100,68,True,2023-09-28 09:43:36,R_2WvrDWx4RHRP5HK,,,,,43.0782,-89.4075,anonymous,EN,Prac_1404,BabyInfo Prac,understands AND says,100,understands AND says,100,understands,100,does NOT understand or say,91,understands,100,does NOT understand or say,50,understands,81,understands,50,,
2023-09-28 14:37:02,2023-09-28 15:09:59,IP Address,72.33.2.50,100,1976,True,2023-09-28 15:10:00,R_30qwHga0KcsDMFT,,,,,43.0782,-89.4075,anonymous,EN,BI104,BabyInfo,understands AND says,100,understands AND says,100,understands AND says,100,understands,100,understands,100,understands AND says,100,understands AND says,100,understands AND says,81,,
2023-10-03 13:01:00,2023-10-03 13:05:20,IP Address,72.33.2.113,100,260,True,2023-10-03 13:05:22,R_1jOqMPg2huOO00z,,,,,43.0782,-89.4075,anonymous,EN,Prac-1399,BabyInfo,understands AND says,72,understands AND says,81,understands,93,understands,99,understands,99,understands AND says,97,understands AND says,97,understands,61,,
2023-10-03 14:27:43,2023-10-03 14:29:51,IP Address,72.33.2.113,100,128,True,2023-10-03 14:29:52,R_1DCkFpqdrLKjx4U,,,,,43.0782,-89.4075,anonymous,EN,BI106,Bi,understands AND says,100,understands AND says,100,understands AND says,90,understands AND says,90,understands AND says,100,understands AND says,70,understands AND says,90,understands AND says,75,,
